root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q_fresco,multi_ids,q_congress,q_final
fresco-only-n-v2,70,189.2209523,62.3317907,25.89,6.572,0,282.9,5.1e-18,3.1e-19,16.2,3,3,2,0,2,-,3,3
fresco-only-n-v2,217,189.2384111,62.32710526,25.28,6.305,0,369.7,7.5e-18,4.1e-19,18.3,3,3,3,3,3,-,3,3
fresco-only-n-v2,241,189.2151653,62.32686157,26.54,5.672,0,228.1,2.7e-18,1.9e-19,14.1,3,3,3,3,3,-,3,3
fresco-only-n-v2,500,189.2122787,62.32089829,27,5.397,0,349.6,4.8e-18,2.6e-19,18.4,3,3,3,3,3,-,2,2
fresco-only-n-v2,809,189.2530215,62.31617342,25.76,5.488,0,418.2,5.5e-18,2.8e-19,19.8,3,3,3,3,3,-,3,3
fresco-only-n-v2,880,189.1875151,62.31544391,26.83,5.056,0,85.5,9.7e-19,1.3e-19,7.4,0,1,2,0,0.75,-,1,0.75
fresco-only-n-v2,1324,189.1781523,62.31063067,26.79,6.569,0,174.8,3.7e-18,3.1e-19,12,3,2,1,2,2,-,3,3
fresco-only-n-v2,1409,189.161053,62.30994224,27.36,4.952,0.041,56.3,2e-18,3.9e-19,5.3,0,1,0,0,0.25,-,0,0
fresco-only-n-v2,1562,189.2393277,62.30860065,27.94,5.402,0.052,57.5,9.1e-19,1.8e-19,5.2,1,1,2,1,1.25,-,0,0
fresco-only-n-v2,1647,189.1630354,62.30759952,27.3,5.417,0,484.7,3.4e-18,1.6e-19,21.5,1,3,1,2,1.75,-,1,1.75
fresco-only-n-v2,1716,189.1654947,62.3068868,25.4,5.192,0,333.6,4.9e-18,2.8e-19,17.4,3,3,2,3,2.75,-,1,2.75
fresco-only-n-v2,1755,189.1653173,62.30660686,27.8,5.199,0,165.4,1.5e-18,1.3e-19,11.6,-1,3,-1,2,0.75,-,-1,-1
fresco-only-n-v2,1846,189.1665565,62.30560559,24.28,5.194,0,993.6,1e-17,3.3e-19,31.1,3,3,3,3,3,-,1,3
fresco-only-n-v2,1849,189.172155,62.30563712,26.82,5.588,0,306.8,3.5e-18,2.1e-19,16.7,3,3,3,3,3,-,3,3
fresco-only-n-v2,2432,189.1891288,62.30065644,26.58,5.657,0,148.3,2.3e-18,2.1e-19,11.2,3,3,2,2,2.5,-,3,3
fresco-only-n-v2,2542,189.195542,62.29985402,27.19,5.553,0,74.2,1.4e-18,2.2e-19,6.5,1,2,2,2,1.75,-,1,1.75
fresco-only-n-v2,2895,189.18794,62.29722038,27.47,5.452,0,84.5,1.8e-18,2.4e-19,7.4,1,2,2,0,1.25,-,3,3
fresco-only-n-v2,2989,189.1729693,62.29648512,25.72,5.543,0,65.8,2.2e-18,3.7e-19,6,1,2,2,2,1.75,-,1,1.75
fresco-only-n-v2,3100,189.2351893,62.29558412,26.86,6.668,0.001,53.4,7.2e-18,1.2e-18,6,0,0,-1,0,-0.25,-,0,0
fresco-only-n-v2,3200,189.1203031,62.29485993,27.12,6.216,0,60.7,1.2e-18,2.2e-19,5.3,0,1,0,0,0.25,-,1,0.25
fresco-only-n-v2,3375,189.1318525,62.2935733,27.89,5.306,0,214.3,2.5e-18,1.9e-19,13.4,1,3,1,3,2,-,1,2
fresco-only-n-v2,3549,189.1793075,62.29253503,24.77,5.359,0,1468.8,1.2e-17,2.8e-19,41.6,3,3,3,3,3,-,3,3
fresco-only-n-v2,3802,189.1151052,62.290807,26.64,6.007,0,304.8,2.8e-18,1.7e-19,16.6,3,3,2,2,2.5,-,1,2.5
fresco-only-n-v2,3814,189.1219542,62.29100538,25.73,5.301,0,114.5,2.5e-18,2.7e-19,9.3,3,3,3,3,3,-,1,3
fresco-only-n-v2,3869,189.1400422,62.29182537,25.59,5.591,0,114.6,3.4e-18,3.8e-19,9,3,3,3,3,3,-,3,3
fresco-only-n-v2,4199,189.2827986,62.28904388,27.07,5,0.04,97.3,2.1e-18,2.5e-19,8.4,3,3,3,3,3,-,3,3
fresco-only-n-v2,4332,189.1597988,62.28795895,27.06,5.275,0.04,101.5,2.4e-18,2.8e-19,8.6,3,2,3,3,2.75,-,1,2.75
fresco-only-n-v2,4427,189.2845488,62.28747329,26.11,5.948,0,102.7,3.3e-18,3.7e-19,9,2,1,2,2,1.75,-,3,3
fresco-only-n-v2,4581,189.1310022,62.28683335,25.46,5.269,0,196.3,4.3e-18,3.4e-19,12.9,3,3,3,3,3,-,1,3
fresco-only-n-v2,4640,189.1452258,62.28658966,27.27,5.132,0.04,57.1,1.3e-18,2.5e-19,5.4,1,1,1,1,1,-,1,1
fresco-only-n-v2,4823,189.2359577,62.28554596,25.94,5.194,0,180.3,2.7e-18,2.2e-19,12.6,1,3,3,2,2.25,-,1,2.25
fresco-only-n-v2,4904,189.2507276,62.2852327,27.77,5.091,0.04,56.3,1.2e-18,2.3e-19,5.1,1,1,2,1,1.25,-,1,1.25
fresco-only-n-v2,5009,189.1042382,62.28475647,25.58,5.106,0.041,58.5,1.4e-18,2.7e-19,5.2,0,0,1,1,0.5,-,0,0
fresco-only-n-v2,5107,189.1088246,62.28422422,26.47,4.935,0,150.8,3.8e-18,3.4e-19,11.2,2,3,3,2,2.5,-,3,3
fresco-only-n-v2,5423,189.2542173,62.28297769,26.13,5.966,0.019,57.3,1.7e-18,3.2e-19,5.3,0,0,1,2,0.75,-,2,2
fresco-only-n-v2,5744,189.239613,62.28146179,26.78,5.184,0.04,69.8,1.6e-18,2.5e-19,6.4,2,2,1,1,1.5,-,1,1.5
fresco-only-n-v2,5896,189.2855264,62.28077176,24.66,5.087,0,243.2,3.6e-18,2.2e-19,16.7,-1,-1,3,2,0.75,-,2,2
fresco-only-n-v2,6114,189.3160279,62.2798066,26.81,5.265,0,121.3,3.1e-18,3.3e-19,9.5,2,-1,-1,-1,-0.25,-,1,-0.25
fresco-only-n-v2,6332,189.1807358,62.28224006,25.52,5.185,0,548.6,7.7e-18,3.3e-19,23.5,3,3,3,2,2.75,-,1,2.75
fresco-only-n-v2,6371,189.1968586,62.27888833,27.62,5.775,0,74.9,1.4e-18,2e-19,6.7,2,3,3,2,2.5,-,3,3
fresco-only-n-v2,6458,189.1679298,62.27849242,26.94,6.055,0,248.4,0,0,-99,-1,0,0,0,-0.25,-,-1,-1
fresco-only-n-v2,6492,189.0799277,62.27829141,26.71,4.913,0.043,62,4.1e-18,7.7e-19,5.3,0,1,0,0,0.25,-,0,0
fresco-only-n-v2,6558,189.1151667,62.27812581,27.65,5.492,0,106.5,1.9e-18,2.2e-19,8.6,2,3,3,2,2.5,-,1,2.5
fresco-only-n-v2,6583,189.1115103,62.27795194,25.73,5.636,0,254.5,4.6e-18,3.1e-19,14.7,2,3,3,2,2.5,-,3,3
fresco-only-n-v2,6732,189.2962727,62.2773734,24.57,5.194,0,1105.9,1.5e-17,4.5e-19,33.5,3,3,3,3,3,-,1,3
fresco-only-n-v2,6761,189.1697998,62.27729797,24.67,5.186,0.002,145.6,4.7e-18,4.2e-19,11.2,3,3,2,2,2.5,-,1,2.5
