id_candels id_charlotte ra_candels dec_candels
14161 Hu10_z6_5 189.39971271 62.23949004
29762 Hu10_z6_11 189.36600701 62.19618922
13240 Hu10_z6_12 189.32031105 62.23344178
17763 Hu10_z6_9 189.34225365 62.26284548
28175 Hu10_z6_7 189.03277989 62.1439617
22915 Hu10_z6_6 189.32456271 62.29973367
24567 Hu10_z6_4 189.25398499 62.35395157
24567 Stark11_35_22248 189.25398499 62.35395157
27928 Hu10_z6_3 189.05670117 62.12991431
15350 Stark11_43_3982 189.0399444 62.24772144
26377 Jung18_z6_GND_5752 189.19908156 62.32098098
7858 Stark11_42_13066 189.15639949 62.19771589
31221 Stark11_33_17705 189.20820677 62.23212803
29911 Stark11_32_16773 189.19779551 62.19998291
21409 Stark11_34_24923 189.28453766 62.28749139
16068 Stark11_33_19990 189.23102481 62.25233442
11699 Jung18_z6_GND_28438 189.17802256 62.22371785
9341 Hu10_z7_1 189.35825962 62.20763746
35272 Stark11_35_22381 189.2553892 62.35775378
21753 Stark11_24_28120 189.3214621 62.29009998
34841 Stark11_24_26902 189.30761042 62.32344254
27749 Stark11_41_13100 189.15667412 62.11543567
28132 Stark11_42_6706 189.07822567 62.1419401
19811 Jung18_z7_GND_10402 189.17928734 62.27588977
22416 Hu10_z7_2 189.35688782 62.29532099
