id_candels id_charlotte ra_candels dec_candels
32510 z6_GNW_30051 189.45517858 62.26062072
28732 z5_GNW_10084 189.05730265 62.16694991
8400 z5_GNW_15423 188.9793094 62.20133172
16735 z6_GND_16819 189.32822851 62.25631626
17763 z5_GND_14430 189.34225365 62.26284548
10922 z5_GND_30190 189.24895977 62.21837143
24358 z5_GND_42418 189.16654745 62.30558786
17224 z5_GND_15562 189.10639407 62.25971821
21331 z5_GND_44499 189.10594705 62.28685189
33170 z6_GNW_27915 189.47420593 62.2756826
33662 z6_GNW_25538 189.48193975 62.28814291
21131 z6_GNW_25971 189.33482521 62.28530711
23063 z6_GNW_23437 189.38798707 62.30115968
27481 z5_GNW_22336 189.33969517 62.30903655
25270 z6_GNW_22717 189.41619159 62.33315361
34697 z6_GNW_23350 189.41507038 62.33351928
34841 z6_GNW_20152 189.30761042 62.32344254
35192 z6_GNW_32543 189.31891405 62.35654962
1084 z6_GNW_4311 189.17860954 62.13281686
1880 z6_GNW_6440 189.16392137 62.14596069
28483 z6_GNW_8472 189.17238164 62.15709182
24003 z6_GNW_22555 189.30177919 62.30780664
200 z6_GNW_1169 189.13432486 62.10865733
27749 z6_GNW_2045 189.15667412 62.11543567
27856 z6_GNW_2993 189.12797745 62.12322692
28216 z6_GNW_6554 189.13720039999998 62.14630565
28314 z6_GNW_7317 189.06922803 62.15018418
29153 z5_GNW_12024 189.14324485 62.17987183
28807 z6_GNW_10421 189.08996679 62.16967304
4474 z6_GNW_10970 189.07576958 62.17273396
4668 z5_GNW_11324 189.06838338 62.17493312
29724 z6_GNW_14511 189.1005376 62.19534394
9375 z6_GNW_16141 189.01922478 62.20771096
4336 z6_GNW_10822 188.9953057 62.17146035
7529 z6_GNW_14478 189.0021376 62.19547749
8154 z6_GNW_15180 188.96205662 62.19957884
10099 z6_GNW_16618 188.99587805 62.21258131
9256 z6_GNW_16070 188.9540229 62.206898200000005
9282 z6_GNW_16088 188.95325463 62.20707001
4131 z6_GND_2469 189.31723336 62.16976735
29409 z7_GND_39528 189.30652433 62.18744036
8388 z6_GND_35647 189.33022416 62.20098749
11224 z6_GND_29564 189.37914616 62.22001221
11875 z6_GND_28043 189.41842385 62.22478827
12860 z6_GND_25736 189.33614463 62.23128544
12962 z6_GND_25400 189.34192304 62.23206084
13903 z6_GND_23382 189.38611572 62.23784028
14922 z6_GND_20879 189.36923658 62.24481086
15654 z6_GND_19165 189.34773322 62.24986594
32623 z6_GND_14309 189.33404671 62.26305778
21753 z6_GNW_25620 189.3214621 62.29009998
3887 z6_GND_2164 189.25708044 62.1673669
5085 z6_GND_3883 189.30323741 62.17851304
4979 z6_GND_3649 189.20674033 62.17750138
7532 z6_GND_37114 189.27598194 62.19580827
29867 z6_GND_36192 189.29324956 62.19868629
8092 z6_GND_36100 189.19127434 62.19951881
30099 z6_GND_34516 189.29243224 62.20507331
9942 z5_GND_32273 189.22633838 62.21191792
13076 z6_GND_25195 189.26053535 62.23277753
12356 z6_GND_27453 189.23743088 62.22812426
11699 z6_GND_28438 189.17802256 62.22371785
15458 z6_GND_19665 189.24870624 62.24844051
31659 z6_GND_22283 189.21139447 62.24106342
16068 z6_GND_18287 189.23102481 62.25233442
16901 z6_GND_16399 189.23482579 62.25749845
19178 z6_GND_11494 189.28866374 62.27180141
21409 z6_GND_8220 189.28453766 62.28749139
20791 z6_GND_8934 189.25418859 62.28297613
19700 z5_GND_10574 189.17560915 62.27526508
33220 z6_GND_10131 189.16964436 62.27706767
23009 z6_GND_43125 189.18913737 62.30065863
27270 z6_GND_41463 189.17592905 62.31152587
29032 z6_GNW_11480 189.15751528 62.17607656
4851 z6_GNW_11543 189.15744108 62.17650152
7818 z6_GND_36607 189.15558495 62.19764713
7858 z6_GND_36553 189.15639949 62.19771589
9866 z6_GND_32408 189.13928428 62.21132255
10412 z6_GND_31259 189.12819739 62.21488413
10493 z6_GND_31100 189.11163818 62.21537368
11805 z6_GND_28182 189.11483796 62.22443214
15237 z6_GND_20167 189.13462217 62.24705269
14212 z6_GND_22665 189.11945628 62.23994079999999
14123 z6_GND_22789 189.05777924 62.23926702
22061 z5_GND_7766 189.13929976 62.29186978
33731 z6_GND_44248 189.10564701 62.28967745
19758 z7_GNW_28182 189.50803799 62.27513127
33902 z7_GNW_24671 189.36166592 62.29438818
22416 z7_GNW_24443 189.35688782 62.29532099
34208 z7_GNW_23360 189.35902982 62.30277731
34354 z7_GNW_22375 189.34259649 62.30851837
857 z6_GNW_3671 189.20351944 62.12798364
35240 z6_GNW_18532 189.29298364 62.36649142
4735 z7_GNW_11595 188.9663086 62.17536607
