# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor
-5.841857197359164527e-20,6.400000000000000000e+03,1.389224692597284164e+37,1.869727485848257231e+01,-8.676846609627011181e-20,3.984967065537347502e-19,1.075941107695083941e-18
-1.085398538215192149e-19,6.400470214843750000e+03,1.404302610152812120e+37,1.859662817959814518e+01,-1.612130579067214424e-19,3.963516148029538291e-19,1.070149359967975189e-18
-1.628683458906036914e-19,6.400939941406250000e+03,1.429632427450150872e+37,1.843114705495773009e+01,-2.419065730492829193e-19,3.928247006582383944e-19,1.060626691777243824e-18
-6.937275912695960050e-20,6.401410156250000000e+03,1.438842644134289416e+37,1.837206228032378519e+01,-1.030386004819389791e-19,3.915654215238561278e-19,1.057226638114411713e-18
2.039301060428669220e-20,6.401879882812500000e+03,1.435642165431177154e+37,1.839252930949137976e+01,3.028951563586359043e-20,3.920016371637266072e-19,1.058404420342061859e-18
2.130382239843367883e-19,6.402350097656250000e+03,1.422696552418739367e+37,1.847601983743486898e+01,3.164233443321884704e-19,3.937810783211002994e-19,1.063208911466970962e-18
2.118386662200429418e-20,6.402819824218750000e+03,1.416772056384324311e+37,1.851460999433655630e+01,3.146416543030535640e-20,3.946035538180434901e-19,1.065429595308717577e-18
1.791553175030970873e-20,6.403290039062500000e+03,1.414611450814481279e+37,1.852874373634715255e+01,2.660974338736178216e-20,3.949047875371353640e-19,1.066242926350265666e-18
4.483486328596068739e-20,6.403759765625000000e+03,1.400891847999095752e+37,1.861925309351597946e+01,6.659273213178490988e-20,3.968338216352627711e-19,1.071451318415209578e-18
2.048545379221561802e-19,6.404229980468750000e+03,1.393002194837062306e+37,1.867190628930200802e+01,3.042682049195059154e-19,3.979560239491867519e-19,1.074481264662804211e-18
1.173945984047751118e-19,6.404700195312500000e+03,1.406333751040883715e+37,1.858319395028241416e+01,1.743649132021690740e-19,3.960652898610611547e-19,1.069376282624865094e-18
-5.093363592192584591e-20,6.405169921875000000e+03,1.421643314583406899e+37,1.848286263691174724e+01,-7.565117243278749478e-20,3.939269195239376854e-19,1.063602682714632049e-18
-3.744302560585837471e-19,6.405640136718750000e+03,1.424140786375886173e+37,1.846664911230234551e+01,-5.561371646147671935e-19,3.935813592106098848e-19,1.062669669868646771e-18
1.494385095535033941e-20,6.406109863281250000e+03,1.426034490345860591e+37,1.845438363610891130e+01,2.219593840043176313e-20,3.933199440094967943e-19,1.061963848825641508e-18
-1.888102533017177051e-20,6.406580078125000000e+03,1.413090985203583448e+37,1.853870938745566477e+01,-2.804378044304842646e-20,3.951171863586460626e-19,1.066816403168344639e-18
-4.446573032749967959e-22,6.407049804687500000e+03,1.375555750822699824e+37,1.878994292723130854e+01,-6.604446298536142228e-22,4.004717494665961555e-19,1.081273723559809596e-18
2.882146812825739394e-19,6.407520019531250000e+03,1.397031244550501388e+37,1.864496188188482151e+01,4.280821142396164126e-19,3.973817553620766049e-19,1.072930739477606732e-18
2.405978598855111660e-19,6.407990234375000000e+03,1.405643466960739828e+37,1.858775631220915869e+01,3.573573701484579400e-19,3.961625278925750579e-19,1.069638825309952762e-18
1.795492387029596202e-19,6.408459960937500000e+03,1.390847375870975702e+37,1.868636474349912646e+01,2.666825207239147746e-19,3.982641782884162117e-19,1.075313281378724041e-18
7.291475875830509911e-20,6.408930175781250000e+03,1.435527637553530058e+37,1.839326298235113910e+01,1.082994937996382662e-19,3.920172739996033045e-19,1.058446639798928749e-18
-3.997278755188477878e-19,6.409399902343750000e+03,1.475331644156035483e+37,1.814344408370368456e+01,-5.937114421484004098e-19,3.866928612656947443e-19,1.044070725417375805e-18
-1.063212970327625686e-19,6.409870117187500000e+03,1.484950679815776916e+37,1.808458489658020341e+01,-1.579178597701613328e-19,3.854383900982830997e-19,1.040683653265364326e-18
1.154287140782834281e-19,6.410339843750000000e+03,1.485643482074847271e+37,1.808036769964365220e+01,1.714450067106257214e-19,3.853485085993574120e-19,1.040440973218265176e-18
-1.506772156307154919e-19,6.410810058593750000e+03,1.498034674410344601e+37,1.800543534590037353e+01,-2.237992205945103522e-19,3.837514685811180775e-19,1.036128965169018963e-18
-3.001261390818792239e-19,6.411279785156250000e+03,1.490248608076549912e+37,1.805241035268710448e+01,-4.457740722471382067e-19,3.847526511404235667e-19,1.038832158079143644e-18
2.281311423688820918e-19,6.411750000000000000e+03,1.479372017943834001e+37,1.811865099044055682e+01,3.388406909550260708e-19,3.861644438313137443e-19,1.042643998344547114e-18
