# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_cor			
# there's a big artifact at ~8600-8900A here that doesn't appear in the raw spectrum (274415B1.2), Spencer needs to look at it
1.177484810991966658e-19,7.564299804687500000e+03,4.914254851734623051e+36,5.596738493925757751e+01,1.817653511361382264e-19,6.963489876761853323e-19,1.044523481514278239e-18
1.891863994974540151e-19,7.564629882812500000e+03,1.341720548023570811e+37,3.387137422868387659e+01,2.920422583274500022e-19,4.214293231842777092e-19,6.321439847764164434e-19
1.352406666947039000e-19,7.564959960937500000e+03,1.615808857726309505e+37,3.086518329222604962e+01,2.087675954727538225e-19,3.840261460010718646e-19,5.760392190016078450e-19
1.644311776396282586e-19,7.565290039062500000e+03,1.619410762598588853e+37,3.083083890484367373e+01,2.538282486736863668e-19,3.835988314246979341e-19,5.753982471370469011e-19
7.801438863265566721e-20,7.565620117187500000e+03,1.628970389603826211e+37,3.074024026539775178e+01,1.204288379018636284e-19,3.824715986456164545e-19,5.737073979684245613e-19
-1.848819169455400951e-19,7.565950195312500000e+03,1.630568698072273011e+37,3.072517054390096547e+01,-2.853975375191290752e-19,3.822841004210658425e-19,5.734261506315987397e-19
7.115789712510073719e-20,7.566280273437500000e+03,1.613200613271053950e+37,3.089012483664239994e+01,1.098446454367161972e-19,3.843364699374904726e-19,5.765047049062358052e-19
1.227743469773889153e-19,7.566609863281250000e+03,1.579857621478600019e+37,3.121439183876416834e+01,1.895236531336234732e-19,3.883710161095039899e-19,5.825565241642559366e-19
1.463167988211473729e-19,7.566939941406250000e+03,1.558166441316188549e+37,3.143090813900563418e+01,2.258655404007839605e-19,3.910649226883475072e-19,5.865973840325213571e-19
1.607593715642528410e-19,7.567270019531250000e+03,1.547816496598414064e+37,3.153581920407194517e+01,2.481601745349451536e-19,3.923702313790116716e-19,5.885553470685174833e-19
6.345391213954569258e-20,7.567600097656250000e+03,1.523574765696451735e+37,3.178571368780882622e+01,9.795219873188560434e-20,3.954794309774009215e-19,5.932191464661014786e-19
1.070957019691280544e-19,7.567930175781250000e+03,1.463920186047337543e+37,3.242687914717934916e+01,1.653209255174212107e-19,4.034568435195479790e-19,6.051852652793219204e-19
-5.241283756334034467e-20,7.568259765625000000e+03,1.379697980165672276e+37,3.340195129246700390e+01,-8.090837125717224692e-20,4.155887396590446755e-19,6.233831094885669170e-19
-1.515642904964065481e-19,7.568589843750000000e+03,1.283759372168843813e+37,3.462757184677823830e+01,-2.339659605338802723e-19,4.308379715678791895e-19,6.462569573518187361e-19
2.994543593984783747e-19,7.568919921875000000e+03,1.276922581750807333e+37,3.472014809808369762e+01,4.622601181535165063e-19,4.319898098920991844e-19,6.479847148381488730e-19
3.007670147709054082e-19,7.569250000000000000e+03,1.315673187698008236e+37,3.420501935669059890e+01,4.642864310406350979e-19,4.255805524650940542e-19,6.383708286976411054e-19
9.538651994099019141e-20,7.569580078125000000e+03,1.351682429332354058e+37,3.374632761859017194e+01,1.472457574728462590e-19,4.198734870406809295e-19,6.298102305610213221e-19
1.721909302709803111e-20,7.569910156250000000e+03,1.380889775370969203e+37,3.338753418290345820e+01,2.658067824823649439e-20,4.154093612646335323e-19,6.231140418969502985e-19
4.117405929909415375e-21,7.570240234375000000e+03,1.436053108050181438e+37,3.273999449193885170e+01,6.355935360130165968e-21,4.073526402158880673e-19,6.110289603238321491e-19
-6.172728256800129471e-20,7.570569824218750000e+03,1.460121131109327795e+37,3.246903711083639621e+01,-9.528684434748879886e-20,4.039813750006406797e-19,6.059720625009609955e-19
-8.828872092751910897e-20,7.570899902343750000e+03,1.441960343095354230e+37,3.267286319827221064e+01,-1.362890647161011364e-19,4.065173893204444588e-19,6.097760839806666160e-19
-7.024034693636721123e-20,7.571229980468750000e+03,1.376621773206469401e+37,3.343925056336748014e+01,-1.084282464251682002e-19,4.160528190431501244e-19,6.240792285647252348e-19
8.115881952066785528e-20,7.571560058593750000e+03,1.253255208648285054e+37,3.504645487968876694e+01,1.252828163069129046e-19,4.360497351019187536e-19,6.540746026528780823e-19
-1.352069519090378512e-19,7.571890136718750000e+03,1.077914179090292764e+37,3.778955347354399663e+01,-2.087155508111339013e-19,4.701795042701616678e-19,7.052692564052425017e-19
7.764832184370261061e-19,7.572220214843750000e+03,8.807927404438135834e+36,4.180488079496009135e+01,1.198637498615578106e-18,5.201384065574714506e-19,7.802076098362072722e-19
5.521635588569340373e-19,7.572549804687500000e+03,7.026432750500613961e+36,4.680544791077522859e+01,8.523609155999131691e-19,5.823557113803416083e-19,8.735335670705122681e-19
8.235181758629599192e-19,7.572879882812500000e+03,5.066331934999645381e+36,5.512099296044533503e+01,1.271244172369576118e-18,6.858181365695486805e-19,1.028727204854322925e-18
1.354890500187782046e-18,7.573209960937500000e+03,3.531036020055334215e+36,6.602566419234817374e+01,2.091510185258180507e-18,8.214945985217817822e-19,1.232241897782672577e-18
4.384461785624130757e-19,7.573540039062500000e+03,4.048109969303651257e+36,6.166485316622416235e+01,6.768182727856749380e-19,7.672371707933944488e-19,1.150855756190091577e-18
-2.176757537835014118e-21,7.573870117187500000e+03,5.997950667277864590e+36,5.065967600736308185e+01,-3.360205537339338341e-21,6.303102090979843560e-19,9.454653136469765821e-19
-5.499417010996467537e-20,7.574200195312500000e+03,7.422316145878484332e+36,4.554011555536459355e+01,-8.489310899948792851e-20,5.666123832666481649e-19,8.499185748999720547e-19
2.899230267934069372e-19,7.574530273437500000e+03,8.691636631339366139e+36,4.208361819911897328e+01,4.475468411618870279e-19,5.236064712066271833e-19,7.854097068099407750e-19
4.210419778233503820e-19,7.574859863281250000e+03,1.027253354995142973e+37,3.871016909968535913e+01,6.499518484458611042e-19,4.816338496893407804e-19,7.224507745340111225e-19
5.853590003921911419e-19,7.575189941406250000e+03,1.161174440100488023e+37,3.640953386399169744e+01,9.036038788249931530e-19,4.530092316349833299e-19,6.795138474524748986e-19
2.718561608737828669e-19,7.575520019531250000e+03,1.238602358983377538e+37,3.525314775552094204e+01,4.196574773488331118e-19,4.386214181455667932e-19,6.579321272183502380e-19
6.016102605022568436e-20,7.575850097656250000e+03,1.322138060062893685e+37,3.412129055758637008e+01,9.286905378862025365e-20,4.245387945813041422e-19,6.368081918719563097e-19
-8.414288493696760729e-20,7.576180175781250000e+03,1.416185521708592926e+37,3.296884840545346407e+01,-1.298892425906624934e-19,4.102000519928470602e-19,6.153000779892704699e-19
2.304067058172217622e-19,7.576509765625000000e+03,1.480905430006002172e+37,3.224038281442943088e+01,3.556730022844765190e-19,4.011364468696655547e-19,6.017046703044983562e-19
-1.042394695177277076e-19,7.576839843750000000e+03,1.529929741588869681e+37,3.171962972387941804e+01,-1.609118317473041343e-19,3.946572110106503698e-19,5.919858165159756029e-19
-1.495713236869847463e-19,7.577169921875000000e+03,1.581072198261014756e+37,3.120240011584363771e+01,-2.308894680939307117e-19,3.882218144963632966e-19,5.823327217445449209e-19
-1.582296826736854534e-19,7.577500000000000000e+03,1.615543602744393264e+37,3.086771705472844829e+01,-2.442551577978561320e-19,3.840576712001761758e-19,5.760865068002643118e-19
-1.602718194917347410e-19,7.577830078125000000e+03,1.621229062115181335e+37,3.081354479504329547e+01,-2.474075527360809376e-19,3.833836572502153493e-19,5.750754858753230480e-19
3.574881152213878733e-20,7.578160156250000000e+03,1.610912370519787630e+37,3.091205620370329754e+01,5.518453587139742859e-20,3.846093410975024607e-19,5.769140116462536910e-19
1.609425441710858899e-19,7.578490234375000000e+03,1.596880870359794698e+37,3.104756846662705883e+01,2.484429334536906124e-19,3.862953914142553638e-19,5.794430871213831179e-19
-1.033132452913840307e-19,7.578819824218750000e+03,1.613205651541147261e+37,3.089007659948382312e+01,-1.594820428433578734e-19,3.843358697683638022e-19,5.765038046525457034e-19
-8.083722180016746750e-20,7.579149902343750000e+03,1.638929357346883590e+37,3.064670128966516671e+01,-1.247863740424722504e-19,3.813077820561804564e-19,5.719616730842707327e-19
1.368467827957410693e-19,7.579479980468750000e+03,1.644558274339680524e+37,3.059420828702443274e+01,2.112469162618218963e-19,3.806546615059058263e-19,5.709819922588588357e-19
-3.308882255109233654e-19,7.579810058593750000e+03,1.626126717073754422e+37,3.076710686585148480e+01,-5.107837819677574801e-19,3.828058742250196747e-19,5.742088113375295121e-19
-1.236091016969170635e-19,7.580140136718750000e+03,1.593279575799714038e+37,3.108263711700461229e+01,-1.908122428741548931e-19,3.867317173068459490e-19,5.800975759602689475e-19
2.199530761814435568e-19,7.580470214843750000e+03,1.599507413297758915e+37,3.102206646650249411e+01,3.395359987014440493e-19,3.859780942600336876e-19,5.789671413900504833e-19
-3.421074648210868871e-19,7.580799804687500000e+03,1.572661058778747788e+37,3.128572950137159481e+01,-5.281026378345627554e-19,3.892586028565670647e-19,5.838879042848506211e-19
-3.489748213048044053e-20,7.581129882812500000e+03,1.533745631360336643e+37,3.168014664839827788e+01,-5.387036022885192632e-20,3.941659606213124100e-19,5.912489409319687112e-19
3.428807061985897966e-19,7.581459960937500000e+03,1.562338319085176312e+37,3.138891545469141064e+01,5.292962709853496844e-19,3.905424476210605674e-19,5.858136714315908752e-19
1.529533057236459382e-19,7.581790039062500000e+03,1.567236976904514088e+37,3.133982144405668180e+01,2.361101481969034251e-19,3.899316174984175563e-19,5.848974262476262864e-19
-2.288419178755758016e-19,7.582120117187500000e+03,1.567975578274446128e+37,3.133243919845213910e+01,-3.532574787294230993e-19,3.898397672313542770e-19,5.847596508470314396e-19
1.783554796395908837e-20,7.582450195312500000e+03,1.557224632345191701e+37,3.144041140403991363e+01,2.753228413743484628e-20,3.911831627846719000e-19,5.867747441770078499e-19
2.285574907634757404e-20,7.582780273437500000e+03,1.524687163352726511e+37,3.177411629068532406e+01,3.528184157927219891e-20,3.953351355854437545e-19,5.930027033781657040e-19
1.050587921049819707e-19,7.583109863281250000e+03,1.461856060698053943e+37,3.244976427742148672e+01,1.621765992956904139e-19,4.037415814485085624e-19,6.056123721727628677e-19
