# spec1d,lambda1d,ivar1d,EW_spec_slitloss_cor,spec1d_slitloss_cor,err_slitloss_cor,OneSigUppLimFluxSpec_slitloss_coor				
# big artifact here that appears between 7700-8200A that shouldn't be there, Spencer needs to look at it 
-7.725832269695953567e-21,7.564629882812500000e+03,4.989953532895740034e+36,4.147961660912699244e+01,-1.221501626183289184e-20,7.077836458217786767e-19,1.061675468732667871e-18
7.926470059659993118e-19,7.564959960937500000e+03,8.032611241671828661e+36,3.269298761682489385e+01,1.253223695490463104e-18,5.578538053109937136e-19,8.367807079664904742e-19
-7.729727100723933297e-20,7.565290039062500000e+03,8.201121907608197108e+36,3.235536850620224669e+01,-1.222117422937387469e-19,5.520928724830122142e-19,8.281393087245183695e-19
5.173398270984322189e-19,7.565620117187500000e+03,8.208903209774270009e+36,3.234002988032273862e+01,8.179461034493647060e-19,5.518311432426192683e-19,8.277467148639289505e-19
2.021775322270796906e-19,7.565950195312500000e+03,8.081964199380416502e+36,3.259301399840788349e+01,3.196551203444922736e-19,5.561479146130159936e-19,8.342218719195239423e-19
6.951197194604990686e-20,7.566280273437500000e+03,7.863642957163806675e+36,3.304236247431240514e+01,1.099027053750012345e-19,5.638153312508589206e-19,8.457229968762882847e-19
7.279297832483595914e-19,7.566609863281250000e+03,7.943962030578510380e+36,3.287489727635293946e+01,1.150901783711793300e-18,5.609578041556365050e-19,8.414367062334546131e-19
3.241476610480403941e-19,7.566939941406250000e+03,7.907028605462868665e+36,3.295158651506871195e+01,5.124973999846793295e-19,5.622663839693081746e-19,8.433995759539622619e-19
2.271049175574853593e-19,7.567270019531250000e+03,7.884735135447379689e+36,3.299813764623971934e+01,3.590668505693659104e-19,5.630607049402039560e-19,8.445910574103059821e-19
-2.778224127670186742e-19,7.567600097656250000e+03,7.627969216274766514e+36,3.354891802645325072e+01,-4.392543316222340012e-19,5.724588956040218505e-19,8.586883434060326313e-19
1.962979606043636531e-19,7.567930175781250000e+03,7.239303250537350974e+36,3.443773657362316243e+01,3.103591557833934519e-19,5.876251696252602482e-19,8.814377544378903723e-19
5.187433325819968427e-19,7.568259765625000000e+03,7.003689102369247611e+36,3.501221242087508045e+01,8.201651319898313348e-19,5.974276857245784555e-19,8.961415285868677795e-19
3.330284266482542852e-19,7.568589843750000000e+03,6.763652460141515471e+36,3.562807372684847707e+01,5.265384369160192952e-19,6.079363788152110944e-19,9.119045682228164009e-19
7.198239421354147165e-20,7.568919921875000000e+03,6.592732107513411742e+36,3.608695765076661388e+01,1.138085950083249784e-19,6.157665026984756351e-19,9.236497540477133082e-19
9.511360232090360677e-20,7.569250000000000000e+03,6.552767452603740354e+36,3.619683569375968091e+01,1.503804585078141927e-19,6.176413966397149738e-19,9.264620949595726052e-19
1.878845945705050061e-19,7.569580078125000000e+03,6.840235020784253998e+36,3.542806823496820812e+01,2.970571063299718316e-19,6.045236033895998738e-19,9.067854050843999552e-19
5.794826393906726575e-20,7.569910156250000000e+03,7.213389669038839125e+36,3.449953865942579512e+01,9.161977139176850632e-20,5.886797238662257972e-19,8.830195857993386959e-19
-3.440024366838538900e-19,7.570240234375000000e+03,7.441865028277740889e+36,3.396581890897158473e+01,-5.438890221168084693e-19,5.795726456985733338e-19,8.693589685478600970e-19
-9.427342840839960616e-20,7.570569824218750000e+03,7.527146263975450949e+36,3.377285743719018996e+01,-1.490520918483076210e-19,5.762800652659345694e-19,8.644200978989019023e-19
-3.341733773700393933e-19,7.570899902343750000e+03,7.447675792856483209e+36,3.395256605700746633e+01,-5.283486744667954868e-19,5.793465068706981625e-19,8.690197603060472438e-19
-8.861728859445617346e-20,7.571229980468750000e+03,7.123803472681012916e+36,3.471578734393274601e+01,-1.401093867267481365e-19,5.923696635242219500e-19,8.885544952863327805e-19
