IDcandels  RA             Dec           zspec  QF J125  H160      flux   texp  beta err_beta MUV      EW      EWlim 
  34802 53.122203826904 -27.6706447601 6.0   3.0  26.056528 26.100952 0.0     5.7   -1.971755 0.685529 -20.678988 -3.57   3.57  
  34061 53.0461273      -27.7082958    6.229 1.5  26.760082 26.50227  0.068   22.0  -0.348764 1.10521  -19.788084 33.47   6.12  
  33620 53.151424407959 -27.7209777832 5.928 1.0  26.456842 26.929482 0.07    18.0  -2.805895 0.501661 -20.235332 18.17   6.1   
  33304 34.5186958      -5.1694598     6.035 2.0  26.6297   26.2297   0.035   11.3  -2.144511 0.508223 -20.440928 14.08   4.01  
  33014 53.067760468    -27.738794327  -1.0  0.0  27.491158 27.235912 0.0     5.0   -2.215574 0.858291 -19.373215 -46.73  46.73 
  32453 53.179908752441 -27.7548732757 5.93  1.0  27.06303  27.075567 0.084   27.0  -1.923742 0.597895 -19.607824 52.39   10.81 
  32252 53.0951385      -27.7605419    6.262 3.0  27.157545 27.520975 0.0     22.0  -2.995479 0.51844  -19.635225 -23.44  23.44 
  32230 150.1333        2.2955894      -1.0  0.0  26.5876   26.713    0.0     11.65 -2.56829  1.530552 -20.165466 -20.33  20.33 
  32210 53.061500549    -27.761600494  -1.0  0.0  26.578411 26.619738 0.0     5.0   -1.546154 0.903537 -20.032095 -20.16  20.16 
#  31759 53.134887695312 -27.7726440429 6.334 1.5  27.199123 27.441765 0.127   27.0  -2.43132  0.513772 -19.51968  82.15   15.81 # probably OII
  31600 53.026283264    -27.776226044  -1.0  0.0  27.324001 26.703339 0.0     5.0   -1.339336 0.555108 -19.675966 -40.06  40.06 
  31321 150.11131       2.2631227      -1.0  0.0  27.3892   27.3369   0.0     11.65 -2.31355  1.640332 -19.47533  -42.54  42.54 
  31131 53.1255341      -27.7866764    6.382 2.0  26.715229 26.772383 0.031   12.0  -1.008717 0.287818 -19.892305 20.76   7.56  
  31124 34.2537132      -5.2067931     6.456 2.5  26.8539   26.8636   0.015   12.0  -2.056876 0.819118 -19.978168 8.3     6.35  
  30991 53.146019       -27.7905083    -1.0  0.0  28.8447   28.8901   0.0     11.0  -1.582213 0.419848 -17.796474 -190.86 190.86
  30656 53.0614204      -27.7996464    5.939 1.0  27.081142 27.410599 0.25159 5.0   -2.322424 0.73325  -19.586731 159.77  11.55 
  29191 34.5253906      -5.241212      5.943 1.5  26.4644   26.4545   0.088   11.3  -3.1787   0.523604 -20.570784 19.95   3.95  
  28306 34.35609        -5.25823       6.141 1.5  26.7601   27.0981   0.08    12.4  -2.741335 0.647349 -19.991234 29.69   4.56  
  28048 53.124332427979 -27.8758983612 6.197 2.0  26.945431 26.553799 0.1303  16.4  -2.323839 0.877136 -20.137842 75.74   8.49  
  27944 53.14501953125  -27.8795928955 5.862 2.0  27.478848 27.393631 0.022   18.0  -1.374166 1.163243 -19.063013 19.93   18.63 
  27129 53.123538971    -27.917928696  -1.0  0.0  26.653326 26.408058 0.0     5.0   -1.651382 0.856442 -20.06176  -21.6   21.6  
  26935 53.104042053223 -27.9371509552 5.899 2.0  26.899487 26.210949 0.16594 6.0   -0.576612 0.880718 -19.867489 88.63   19.1  
  26906 53.093830109    -27.940982819  -1.0  0.0  26.909904 26.831966 0.0     5.0   -2.116717 0.862869 -19.883488 -27.36  27.36 
  26628 53.0707664      -27.7066383    5.972 2.5  26.523945 26.550793 0.022   22.0  -2.474095 0.491536 -20.303539 6.99    2.38  
  26560 53.158134460449 -27.7021198272 5.96  2.5  24.704874 24.521439 0.0     27.0  -1.377778 0.276621 -21.994318 -1.27   1.27  
  26153 53.049694061279 -27.6991920471 5.578 2.0  26.210201 25.95071  0.1528  8.0   -0.992898 0.411681 -20.240917 41.14   3.98  
  25826 34.2333316      -5.1364809     5.829 2.0  25.2989   25.454    0.0     12.0  -2.099038 0.376836 -21.254829 -1.81   1.81  
  25150 53.06623840332  -27.6899719238 5.574 2.0  25.102938 25.152161 0.08072 5.7   -2.127088 0.294901 -21.47739  8.7     2.06  
  23719 34.3104324      -5.1456213     5.683 1.0  26.6864   26.7558   0.0     12.0  -2.358025 0.568664 -20.037987 64.24   8.29  
  23623 53.18032083     -27.71328056   -1.0  0.0  26.318785 26.014891 0.0     27.0  -0.266594 0.532375 -20.121655 -15.87  15.87 
  22790 150.199455      2.458363       -1.0  0.0  26.5791   26.4822   0.0     10.1  -1.676423 1.371801 -20.083609 -20.17  20.17 
  22647 53.0666809      -27.7170753    5.78  3.0  25.867781 25.883017 0.0     22.0  -1.771291 0.508592 -20.782648 -11.44  11.44 
  22592 150.196765      2.4548243      5.6   2.5  24.1178   24.1502   0.0     10.1  -2.277413 0.194593 -22.544621 0.0     1.25  
  22332 150.202509      2.4513864      -1.0  0.0  25.2525   25.2304   0.0     10.1  -1.730693 1.090194 -21.351999 -5.94   5.94  
  22194 53.116191864014 -27.7210235595 5.793 2.0  26.753819 26.674318 0.05    27.0  -2.00249  0.516029 -19.904732 22.97   3.44  
  21745 53.1508827      -27.7249088    -1.0  0.0  26.3532   26.1043   0.0     11.0  -0.293293 0.432825 -20.094051 -16.38  16.38 
  21698 53.023487091    -27.725250244  -1.0  0.0  26.033075 25.535463 0.0     5.0   0.101833  0.435064 -20.476238 -12.2   12.2  
  21411 150.183018      2.4392052      6.221 1.0  25.9046   25.768    0.38    10.1  -1.41002  1.007197 -20.765427 84.97   5.6   
  20776 53.18857083     -27.73318889   6.15  2.5  25.535854 25.545097 0.0     27.0  -1.690008 0.230654 -21.115896 -1.34   1.34  
  20698 53.203167       -27.7337036    6.174 2.5  25.8293   25.955    0.015   11.0  -1.449098 0.557569 -20.745317 3.11    2.16  
  20532 53.008163452148 -27.7351455688 5.821 3.0  26.283527 25.854424 0.08644 4.2   -0.577515 0.675657 -20.248243 25.88   10.81 
  20521 150.139594      2.4269854      6.36  2.0  25.6897   25.6943   0.05    11.2  -2.170437 0.694614 -21.133503 9.35    3.7   
  19377 53.15576171875  -27.7460403442 6.075 1.0  26.437828 26.358398 0.07    27.0  -2.176773 0.469019 -20.369198 23.46   2.44  
  19125 53.081127167    -27.748357773  -1.0  0.0  26.217804 26.0495   0.0     5.0   -1.296955 0.506014 -20.426079 -14.46  14.46 
  19025 53.14730072     -27.749200821  -1.0  0.0  26.957209 26.734411 0.0     5.0   -1.888877 0.40813  -19.837898 -29.82  29.82 
  18915 34.2780205      -5.1713919     5.66  2.5  25.5778   25.5608   0.0     12.0  -2.616398 0.383532 -20.69429  -1.25   1.25  
  18472 150.126604      2.4014438      5.9   2.5  25.6445   25.6305   0.0     11.2  -1.93947  0.757441 -21.027838 -4.56   4.56  
  18310 53.141933441162 -27.7551631927 6.046 2.0  27.315117 27.230347 0.03    27.0  -1.655847 0.497236 -19.342823 24.0    5.56  
  18131 34.4512749      -5.1754861     5.81  3.0  25.5557   25.493    0.0     11.3  -1.743062 0.274873 -21.030306 -4.28   4.28  
  18087 34.3972193      -5.1756888     6.119 1.0  25.3478   25.6199   0.27    12.4  -2.141788 0.267998 -21.216516 46.8    3.99  
  17720 53.12255859375  -27.7605037689 5.928 2.0  26.837975 26.746046 0.055   27.0  -2.131826 0.438935 -19.968239 26.46   9.23  
  17692 53.16276550293  -27.7607612609 5.92  1.0  27.72653  28.063728 0.125   27.0  -2.444063 0.267622 -18.92696  120.32  10.46 
  17610 34.4712267      -5.1782367     -1.0  0.0  25.6939   25.8995   0.0     11.3  -1.922203 0.444154 -20.840214 -9.2    9.2   
  17099 150.068995      2.3840662      -1.0  0.0  26.1631   26.1299   0.0     11.2  -1.723848 1.162428 -20.475115 -13.75  13.75 
  16371 53.159511566162 -27.7714538574 6.108 2.0  26.353809 26.321751 0.03    27.0  -2.009541 0.083791 -20.426716 9.95    3.62  
  16024 53.0731506      -27.773634     5.531 3.0  25.585739 25.445107 0.0     22.0  -1.327482 0.382048 -20.821949 0.0     1.62  
  15861 34.5680579      -5.1879325     6.114 2.5  25.3886   25.4109   0.073   5.0   -2.352    0.375603 -21.448042 8.78    3.75  
  15651 53.104625702    -27.776573181  -1.0  0.0  24.155968 24.455364 0.0     5.0   -1.242056 0.088006 -22.310202 -2.9    2.9   
  15643 53.0359726      -27.776371     -1.0  0.0  27.050318 26.902576 0.0     22.0  -1.45078  0.530824 -19.60717  -31.13  31.13 
  15559 34.2315769      -5.1897934     6.044 1.0  26.2905   26.1432   0.079   12.0  -1.980711 0.391215 -21.01553  79.04   12.08 
  15443 53.15193939209  -27.7781772613 5.938 1.5  25.703356 25.699442 0.036   27.0  -1.885512 0.08069  -20.980356 10.0    1.33  
  15404 53.0338783      -27.7780075    6.289 1.0  26.667093 26.703007 0.09    22.0  -1.297186 0.465075 -19.938869 41.0    6.94  
  15178 53.0558853      -27.7795563    6.266 1.0  26.758381 26.775698 0.091   22.0  -1.579517 0.445621 -19.882481 52.01   11.26 
  14990 34.35465        -5.19304       6.3   1.5  26.3854   26.5076   0.09    12.4  -2.844505 0.443019 -20.4874   23.73   4.44  
  14935 34.4341965      -5.1934028     -1.0  0.0  26.2319   26.3163   0.0     11.3  -1.930987 0.514025 -20.37448  -15.04  15.04 
  14846 34.5037651      -5.1938372     6.027 1.0  25.3805   25.5584   0.48    11.3  -2.852896 0.296446 -21.408543 46.6    1.42  
  14739 53.208255767822 -27.7822761535 5.89  2.0  26.605433 26.691626 0.24368 6.0   -2.390109 0.376195 -20.171373 84.82   8.49  
  14724 53.046798706    -27.782300949  -1.0  0.0  26.818062 27.137333 0.0     5.0   -2.115845 0.63245  -19.699884 -24.04  24.04 
  14716 34.4790268      -5.1944671     -1.0  0.0  26.5837   26.2453   0.0     11.3  -1.122074 0.64057  -20.126154 -20.26  20.26 
  14715 34.4671059      -5.1944642     -1.0  0.0  25.9898   25.71     0.0     11.3  -0.932085 0.491305 -20.622    -11.72  11.72 
  14549 34.4828377      -5.1953101     6.033 2.0  26.4944   26.7204   0.051   11.3  -2.187252 0.729437 -20.118183 19.12   3.85  
  14439 53.1248894      -27.7841072    5.782 1.0  26.776279 27.179756 0.1     22.0  -2.857935 0.491263 -19.933458 32.81   2.59  
  14259 53.16165        -27.78533056   -1.0  0.0  27.066603 26.954206 0.0     27.0  -0.781303 0.198217 -19.429605 -50.48  50.48 
  13802 53.16469167     -27.78816944   -1.0  0.0  26.532146 26.418554 0.0     27.0  -0.36326  0.439957 -19.745193 -19.32  19.32 
  12881 53.0694046      -27.7943935    5.874 3.0  26.011805 26.107534 0.02    22.0  -2.222654 0.391999 -20.695532 4.3     2.45  
  12475 53.1526031      -27.7972393    -1.0  0.0  27.0047   26.9989   0.0     11.0  -1.778426 0.20227  -19.625257 -32.51  32.51 
  12306 150.12746       2.3264251      5.908 1.5  24.443    24.3064   0.028   11.65 -1.700638 0.437644 -22.260448 -3.16   3.16  
  12240 53.143939972    -27.798879623  -1.0  0.0  26.419832 26.575727 0.0     5.0   -2.222654 0.391999 -20.695532 -15.99  15.99 
  12123 53.103321075439 -27.7996730804 5.996 2.0  27.182583 27.161043 0.30065 11.0  -2.430877 0.57593  -19.664955 179.05  6.94  
  12115 53.0775528      -27.7997456    -1.0  0.0  26.09831  25.844223 0.0     11.0  -1.093098 0.410375 -20.482155 -12.96  12.96 
  11932 53.217594147    -27.801305771  -1.0  0.0  26.086727 26.053209 0.0     5.0   -1.305462 0.413147 -20.416502 -12.82  12.82 
  11835 34.253719       -5.2095661     5.92  3.0  25.876    25.8801   0.0     15.3  -1.808046 0.433972 -20.703987 -3.25   3.25  
  11662 53.166717529297 -27.8041706085 5.828 1.0  25.114922 25.136595 0.2862  5.0   -2.068482 0.065281 -21.551632 28.43   2.4   
  11520 53.065647125244 -27.8047790527 5.944 2.0  26.389648 26.449932 0.03249 10.0  -2.312409 0.602085 -20.336941 9.66    5.69  
  11470 53.1630325      -27.8051414    -1.0  0.0  28.3642   28.4272   0.0     11.0  -1.722586 0.33531  -18.20746  -116.17 116.17
  11464 53.117462158203 -27.8051891326 5.94  2.0  26.15288  26.035051 0.05398 20.7  -1.821348 0.290719 -20.569597 15.64   2.9   
  11202 53.1097298      -27.8074074    -1.0  0.0  26.665453 26.604231 0.0     11.0  -1.16373  0.451243 -19.843731 -21.84  21.84 
  11096 53.1093826      -27.8084221    -1.0  0.0  25.051697 25.057381 0.0     11.0  -1.462976 0.127916 -21.514601 -6.07   6.07  
  10699 150.11828       2.3072771      5.835 3.0  26.4446   26.6124   0.025   11.65 -2.792291 1.096497 -20.336914 8.7     3.94  
  10334 53.0762444      -27.8154507    -1.0  0.0  25.82778  25.864599 0.0     22.0  -1.843103 0.267328 -20.799713 -10.73  10.73 
  10219 53.2020264      -27.8163528    6.136 2.5  26.0821   26.111    0.04    11.0  -1.574017 0.326193 -20.558834 -13.35  13.35 
  9699  53.22541809082  -27.8210964202 5.793 2.0  24.872437 24.946169 0.05146 9.3   -1.502903 0.257855 -21.531664 6.5     1.27  
  9213  53.191837310791 -27.8249225616 5.787 1.0  26.552858 26.532103 0.11702 14.2  -2.096255 0.317256 -20.098606 20.6    3.61  
  8835  53.11629486084  -27.8283367156 5.757 3.0  26.645504 26.762676 0.02869 6.0   -2.720437 0.473828 -20.13933  8.78    4.66  
  8689  150.17092       2.2840369      -1.0  0.0  26.5107   26.2735   0.0     5.82  -1.339068 0.922208 -20.180546 -18.94  18.94 
  8474  150.10661       2.2812779      -1.0  0.0  25.0887   24.9962   0.0     11.65 -1.198008 0.788483 -21.431875 -5.11   5.11  
  8118  150.15494       2.2771921      5.731 1.5  25.998    26.0695   0.027   11.65 -1.708108 0.931103 -20.420307 6.13    2.67  
  8016  34.41542        -5.23072       -1.0  0.0  26.1222   26.3144   0.0     12.4  -1.884838 0.467617 -20.381151 -13.84  13.84 
  7957  53.101661682129 -27.8360919952 5.5   3.0  24.592487 24.425488 0.0     5.0   -1.17406  0.170461 -21.797541 0.0     2.01  
  7692  150.10775       2.2719169      6.046 1.0  26.3707   26.0427   0.068   11.65 -0.747453 1.297284 -20.202745 22.79   3.54  
  7499  150.08916       2.2694901      5.858 1.5  26.2803   26.2859   0.06    11.65 -1.88917  1.299677 -20.332899 18.01   10.09 
  7246  181.380139      -7.770059      5.721 2.0  25.8966   25.6325   0.04    15.3  -0.762226 0.294954 -20.797173 8.26    2.01  
  7173  181.351769      -7.767678      5.962 2.0  26.1246   26.668    0.05    15.3  -2.790172 1.199569 -20.469669 13.2    3.67  
  7164  53.061912537    -27.842721939  -1.0  0.0  26.64986  26.767782 0.0     5.0   -2.093097 0.508441 -20.016081 -20.77  20.77 
  7047  150.07756       2.264384       -1.0  0.0  25.7276   25.6976   0.0     11.65 -2.056537 0.976186 -21.000561 -9.21   9.21  
  6564  34.5089836      -5.2385678     -1.0  0.0  25.3324   25.5743   0.0     11.3  -1.449615 0.411811 -21.099401 -7.91   7.91  
  6526  34.471405       -5.238728      -1.0  1.0  26.6108   26.5825   0.0     11.3  -1.027628 0.736085 -19.80966  -20.77  20.77 
  5958  53.162330627    -27.854621887  -1.0  0.0  26.553614 26.35383  0.0     5.0   -1.089126 0.866761 -20.162352 -19.7   19.7  
  5889  336.998416      -35.209229     5.54  3.0  26.3077   25.7957   0.01    16.0  -0.042952 0.253275 -20.32649  3.8     3.98  
  5870  336.955504      -35.208964     5.635 1.0  24.8882   24.6568   0.04    16.0  -1.382846 0.140386 -21.739313 9.0     1.12  
  4872  34.4820328      -5.2481742     6.564 1.5  25.5493   25.4549   0.051   11.3  -1.919455 0.314545 -21.364204 8.83    1.92  
  4812  34.4757347      -5.2484999     6.561 1.0  25.8668   25.8361   0.19    11.3  -2.403643 0.375916 -21.011723 37.95   2.2   
  4755  53.153450012    -27.866952896  -1.0  0.0  25.850069 25.789808 0.0     5.0   -1.532532 0.547754 -20.79497  -10.31  10.31 
  4605  53.129959106    -27.868364334  -1.0  0.0  26.809965 26.608816 0.0     5.0   -1.05004  0.9191   -19.779715 -24.95  24.95 
  4144  53.162616729736 -27.8730812072 5.559 3.0  25.34234  25.136189 0.0455  12.8  -1.371722 0.30142  -21.180408 7.1     1.84  
  4085  336.957328      -35.181049     6.194 1.0  25.5422   25.2566   0.164   16.0  -1.196484 0.257759 -21.32106  44.0    1.76  
  4084  34.40643        -5.25328       -1.0  0.0  26.1      26.0849   0.0     12.4  -1.773633 0.537832 -20.561281 -12.98  12.98 
  4025  181.331168      -7.718568      5.64  3.0  26.8163   -27.1476  0.015   15.3  -1.803706 1.342637 -19.770779 5.37    3.83  
