# Median Lya DV from Mason+18 (10**V from eqn 2)
# Muv	z=0	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8
-23.0	nan	nan	1141.27	802.74	586.01	502.07	471.24	391.76	308.05
-22.9	nan	nan	1136.71	776.91	554.28	474.72	444.19	371.47	295.03
-22.8	nan	nan	1132.17	752.33	524.96	450.07	420.10	353.21	283.18
-22.7	nan	nan	1127.64	728.64	497.32	426.86	397.48	336.01	271.89
-22.6	nan	nan	1123.14	706.25	471.86	405.62	376.79	320.39	261.50
-22.5	nan	nan	1109.40	682.32	448.04	385.75	357.54	305.76	251.68
-22.4	nan	nan	1075.38	654.33	426.17	367.52	340.04	292.36	242.59
-22.3	nan	nan	1025.71	623.33	405.76	350.54	323.81	279.89	234.09
-22.2	nan	nan	960.63	589.36	386.75	334.78	308.82	268.31	226.15
-22.1	nan	nan	897.92	557.20	369.18	320.22	295.02	257.55	218.68
-22.0	nan	nan	838.34	526.77	352.71	306.55	282.12	247.42	211.56
-21.9	nan	nan	783.63	498.77	337.57	294.02	270.27	238.13	204.95
-21.8	nan	nan	732.71	472.43	323.24	282.13	259.03	229.31	198.61
-21.7	nan	nan	686.55	448.42	310.14	271.24	248.91	221.28	192.75
-21.6	nan	902.77	643.50	425.77	297.68	260.86	239.29	213.60	187.10
-21.5	nan	877.65	604.07	404.96	286.24	251.34	230.56	206.48	181.80
-21.4	nan	853.34	567.22	385.33	275.41	242.33	222.25	199.71	176.71
-21.3	nan	829.93	532.98	367.05	265.36	234.02	214.49	193.40	171.93
-21.2	nan	807.52	501.33	349.94	255.86	226.14	207.18	187.42	167.38
-21.1	nan	786.12	472.17	333.99	246.92	218.69	200.32	181.77	163.07
-21.0	1135.84	762.31	445.66	319.30	238.60	211.74	193.90	176.44	158.95
-20.9	1131.69	737.41	421.21	305.58	230.74	205.15	187.80	171.36	154.99
-20.8	1127.56	699.71	398.74	292.87	223.43	198.98	182.11	166.60	151.21
-20.7	1123.45	660.23	377.63	280.81	216.43	193.06	176.64	162.03	147.56
-20.6	1114.92	621.58	358.77	269.81	209.92	187.54	171.56	157.75	144.09
-20.5	1100.72	585.22	341.01	259.33	203.64	182.21	166.66	153.61	140.71
-20.4	1040.38	551.89	324.95	249.72	197.81	177.26	162.13	149.69	137.46
-20.3	980.59	520.77	309.88	240.59	192.21	172.50	157.76	145.89	134.30
-20.2	917.04	492.20	296.12	232.15	186.96	167.99	153.60	142.26	131.24
-20.1	857.71	465.77	283.29	224.17	181.94	163.69	149.60	138.76	128.28
-20.0	802.31	441.47	271.43	216.68	177.16	159.62	145.79	135.39	125.42
-19.9	751.34	418.70	260.36	209.62	172.61	155.70	142.13	132.13	122.65
-19.8	704.16	397.26	249.94	202.90	168.24	151.92	138.60	128.96	119.96
-19.7	661.59	377.50	240.47	196.71	164.12	148.32	135.18	125.91	117.32
-19.6	622.10	358.91	231.53	190.80	160.16	144.83	131.86	122.95	114.74
-19.5	585.33	342.06	223.30	185.28	156.41	141.51	128.72	120.12	112.27
-19.4	550.83	326.15	215.45	179.97	152.77	138.28	125.67	117.37	109.85
-19.3	519.00	311.80	208.32	175.06	149.32	135.19	122.79	114.73	107.53
-19.2	489.40	298.27	201.54	170.34	145.98	132.20	120.00	112.18	105.27
-19.1	462.62	285.90	195.33	165.93	142.79	129.34	117.35	109.78	103.09
-19.0	437.94	274.31	189.41	161.70	139.71	126.58	114.79	107.45	100.98
-18.9	415.45	263.58	183.82	157.67	136.75	123.92	112.33	105.18	98.94
-18.8	394.62	253.61	178.59	153.83	133.87	121.35	109.97	103.00	96.98
-18.7	375.20	244.27	173.66	150.15	131.07	118.88	107.68	100.89	95.09
-18.6	357.60	235.67	169.08	146.68	128.40	116.46	105.46	98.84	93.26
-18.5	341.14	227.53	164.70	143.34	125.80	114.09	103.29	96.85	91.46
-18.4	326.20	220.09	160.62	140.16	123.28	111.83	101.21	94.96	89.73
-18.3	312.05	212.95	156.68	137.07	120.81	109.62	99.17	93.11	88.04
-18.2	299.32	206.30	152.97	134.15	118.46	107.46	97.22	91.33	86.40
-18.1	287.29	199.94	149.38	131.30	116.15	105.35	95.32	89.59	84.79
-18.0	276.33	194.08	145.97	128.54	113.88	103.28	93.46	87.88	83.21
-17.9	265.97	188.49	142.69	125.88	111.67	101.27	91.67	86.21	81.65
-17.8	256.28	183.22	139.56	123.32	109.54	99.30	89.95	84.60	80.12
-17.7	247.16	178.20	136.52	120.81	107.44	97.39	88.26	83.01	78.62
-17.6	238.55	173.40	133.56	118.37	105.39	95.53	86.58	81.46	77.16
-17.5	230.71	168.93	130.75	116.01	103.37	93.70	84.96	79.92	75.72
-17.4	223.32	164.66	128.03	113.70	101.40	91.91	83.36	78.40	74.31
-17.3	216.34	160.60	125.40	111.46	99.47	90.20	81.80	76.93	72.96
-17.2	209.63	156.66	122.83	109.27	97.59	88.53	80.26	75.50	71.63
-17.1	203.59	152.97	120.38	107.16	95.76	86.85	78.74	74.09	70.35
-17.0	197.78	149.39	117.98	105.09	93.96	85.21	77.25	72.72	69.09
-16.9	192.38	145.97	115.63	103.06	92.19	83.62	75.80	71.40	67.86
