# Muv	z=0	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8	z=9
-23.0	nan	nan	nan	nan	586.01	501.96	471.01	391.83	308.00	281.22
-22.9	nan	nan	1136.71	777.12	554.59	475.13	444.61	371.90	295.22	270.30
-22.8	nan	nan	1132.17	752.38	524.98	449.96	420.00	353.18	283.12	259.92
-22.7	nan	nan	1127.64	728.86	497.60	427.09	397.57	336.23	271.97	250.40
-22.6	nan	nan	1123.14	706.22	471.85	405.67	376.59	320.34	261.40	241.38
-22.5	nan	nan	1103.64	680.95	448.30	386.00	357.64	305.89	251.70	233.08
-22.4	nan	nan	1078.63	655.29	426.25	367.52	340.00	292.34	242.55	225.23
-22.3	nan	nan	1024.80	623.21	405.89	350.62	323.88	279.94	234.11	217.87
-22.2	nan	nan	960.41	589.32	386.79	334.80	308.83	268.33	226.16	210.86
-22.1	nan	nan	897.97	557.22	369.20	320.25	295.05	257.57	218.69	204.31
-22.0	nan	nan	838.45	526.84	352.75	306.63	282.19	247.47	211.59	198.09
-21.9	nan	nan	783.66	498.74	337.55	294.03	270.32	238.14	204.93	192.24
-21.8	nan	nan	732.94	472.56	323.33	282.24	259.22	229.42	198.61	186.68
-21.7	nan	nan	686.50	448.38	310.11	271.25	248.96	221.29	192.69	181.43
-21.6	nan	nan	643.76	425.91	297.76	260.94	239.40	213.65	187.08	176.43
-21.5	nan	877.70	604.14	404.96	286.22	251.33	230.52	206.49	181.77	171.70
-21.4	nan	853.43	567.36	385.41	275.45	242.36	222.24	199.78	176.73	167.20
-21.3	nan	830.07	533.20	367.10	265.33	233.97	214.47	193.44	171.94	162.91
-21.2	nan	807.63	501.50	349.99	255.86	226.16	207.20	187.47	167.40	158.84
-21.1	1140.00	786.24	472.35	334.05	246.94	218.76	200.35	181.81	163.06	154.92
-21.0	1135.84	766.02	445.73	319.32	238.61	211.79	193.95	176.48	158.96	151.17
-20.9	1131.69	738.05	421.11	305.55	230.75	205.17	187.86	171.40	155.00	147.56
-20.8	1127.56	698.71	398.62	292.85	223.44	198.95	182.11	166.62	151.22	144.10
-20.7	1123.45	660.18	377.76	280.90	216.48	193.04	176.65	162.05	147.58	140.75
-20.6	1119.34	621.47	358.75	269.82	209.93	187.52	171.56	157.76	144.09	137.52
-20.5	1097.90	585.34	341.04	259.37	203.68	182.24	166.69	153.63	140.71	134.38
-20.4	1039.25	551.94	324.96	249.73	197.82	177.27	162.14	149.69	137.46	131.34
-20.3	980.56	520.79	309.89	240.59	192.21	172.50	157.76	145.89	134.30	128.39
-20.2	916.94	492.31	296.18	232.16	186.96	168.01	153.61	142.27	131.25	125.54
-20.1	857.57	465.68	283.24	224.13	181.91	163.68	149.59	138.76	128.27	122.77
-20.0	802.44	441.46	271.42	216.69	177.18	159.62	145.80	135.39	125.42	120.10
-19.9	751.19	418.60	260.22	209.56	172.60	155.69	142.11	132.11	122.63	117.50
-19.8	704.60	397.31	250.00	202.96	168.28	151.95	138.60	128.98	119.95	114.94
-19.7	661.19	377.25	240.30	196.62	164.09	148.31	135.19	125.92	117.32	112.45
-19.6	622.11	359.05	231.59	190.84	160.20	144.86	131.89	122.97	114.76	110.03
-19.5	585.35	341.84	223.24	185.26	156.41	141.49	128.69	120.10	112.26	107.67
-19.4	550.89	326.38	215.57	180.04	152.81	138.30	125.68	117.38	109.86	105.36
-19.3	518.55	311.67	208.19	174.99	149.30	135.19	122.74	114.72	107.52	103.11
-19.2	489.48	298.40	201.59	170.37	146.00	132.22	120.01	112.22	105.28	100.97
-19.1	462.07	285.72	195.20	165.87	142.77	129.32	117.34	109.77	103.08	98.87
-19.0	438.00	274.37	189.39	161.71	139.72	126.59	114.80	107.45	100.99	96.90
-18.9	415.17	263.48	183.76	157.64	136.74	123.92	112.32	105.18	98.94	94.96
-18.8	394.59	253.66	178.63	153.84	133.87	121.37	109.97	103.01	96.99	93.11
-18.7	375.05	244.22	173.65	150.13	131.07	118.88	107.67	100.88	95.09	91.29
-18.6	357.66	235.71	169.11	146.69	128.40	116.46	105.46	98.85	93.26	89.53
-18.5	341.15	227.53	164.70	143.34	125.80	114.09	103.29	96.85	91.46	87.80
