# zspec		M_uv	del_v	Lya_ew		Reference
6.110		-20.1	235	39.6		Mainali+17
6.176		-22.84	430	50		Willott+15
6.076		-22.5	504	13		Willott+15
6.701		-21.57	110	..		Pentericci+16
6.6381		-20.97	110	..		Pentericci+16
6.6294		-21.67	240	..		Pentericci+16
7.154		-21.9	488	28		Stark+17
7.730		-22.1	340	21		Stark+17
6.029		-19.34	120	..		Stark+15
6.765		-19.1	20	26		Bradac+17
7.288		-21.53	110	..		Inoue+16
7.084   -22.7  177   14.6   Endsley+22
6.875   -22.6  340   3.7   Endsley+22
6.645   -21.6  330   13.5   Endsley+22
6.849   -22.7  640   10.0   Endsley+22
