ID logM dlogM+ dlogM- logSFR dlogSFR+ dlogSFR- B-V MFUV dMFUV+ dMFUV- Name
CG_12          9.30 0.24 0.29 1.12 0.20 0.11 0.05  21.31 0.02 0.02 CANDELS_GOODSS_12        
CG_14         10.49 0.04 0.04 1.50 0.07 0.07 0.05  22.11 0.03 0.03 CANDELS_GOODSS_14        
CG_21          9.76 0.19 0.23 1.37 0.26 0.24 0.20  20.39 0.18 0.13 CANDELS_GOODSS_21        
CG_38          9.63 0.18 0.20 1.54 0.24 0.22 0.20  21.33 0.12 0.09 CANDELS_GOODSS_38        
CG_42          9.38 0.26 0.32 1.05 0.26 0.21 0.00  20.60 0.23 0.15 CANDELS_GOODSS_42        
CG_47          9.09 0.18 0.17 1.19 0.20 0.16 0.10  20.80 0.13 0.09 CANDELS_GOODSS_47        
DC_274035      9.42 0.13 0.13 1.20 0.19 0.09 0.05  21.74 0.18 0.13 DEIMOS_COSMOS_274035    
DC_308643      9.77 0.11 0.19 1.83 0.12 0.22 0.10  22.43 0.08 0.06 DEIMOS_COSMOS_308643    
DC_351640      9.67 0.13 0.15 1.20 0.20 0.12 0.00  21.75 0.62 0.55 DEIMOS_COSMOS_351640    
DC_372292      9.44 0.16 0.12 1.45 0.24 0.25 0.10  22.01 0.30 0.40 DEIMOS_COSMOS_372292    
DC_400160      9.65 0.17 0.15 1.67 0.24 0.23 0.10  22.36 0.09 0.07 DEIMOS_COSMOS_400160    
DC_403030      9.68 0.15 0.18 1.56 0.26 0.28 0.15  21.74 0.17 0.12 DEIMOS_COSMOS_403030    
DC_416105      9.45 0.13 0.14 1.08 0.12 0.11 0.00  21.78 0.61 0.32 DEIMOS_COSMOS_416105    
DC_417567      9.81 0.18 0.11 1.87 0.24 0.23 0.10  22.92 0.11 0.08 DEIMOS_COSMOS_417567    
DC_422677      9.85 0.14 0.16 1.90 0.21 0.19 0.20  21.63 0.15 0.11 DEIMOS_COSMOS_422677    
DC_430951      9.45 0.14 0.15 1.08 0.16 0.11 0.00  21.70 0.83 0.43 DEIMOS_COSMOS_430951    
DC_432340     10.10 0.17 0.15 1.79 0.26 0.26 0.15  22.09 0.16 0.11 DEIMOS_COSMOS_432340    
DC_434239     10.32 0.13 0.12 2.00 0.27 0.28 0.25  21.91 0.15 0.11 DEIMOS_COSMOS_434239    
DC_488399     10.20 0.13 0.15 1.67 0.26 0.27 0.05  22.06 0.40 0.30 DEIMOS_COSMOS_488399    
DC_493583      9.61 0.15 0.11 1.36 0.27 0.22 0.10  21.76 0.15 0.11 DEIMOS_COSMOS_493583    
DC_494057     10.15 0.13 0.15 1.62 0.26 0.20 0.00  22.37 0.33 0.24 DEIMOS_COSMOS_494057    
DC_494763      9.53 0.15 0.16 1.30 0.30 0.30 0.15  21.43 0.33 0.47 DEIMOS_COSMOS_494763    
DC_510660      9.47 0.15 0.18 1.11 0.24 0.11 0.10  21.55 0.22 0.14 DEIMOS_COSMOS_510660    
