ID S/N_CII EWLya dEWLya fest dfesc+ dfesc- zCII dzCII offsetLya doffsetLya  
CG_12          4.4  30.4  2.2 0.19 0.05 0.07 4.4310 0.0005 110  85
CG_14          4.6  59.6  3.7 0.41 0.07 0.06 5.5527 0.0005 334  80
CG_21          4.2  47.7  3.7 0.23 0.17 0.10 5.5716 0.0005 168  77
CG_38          4.7  21.2  2.1 0.05 0.04 0.02 5.5721 0.0007  36  82
CG_42          3.7  53.5  6.9 0.27 0.16 0.12 5.5252 0.0005 707  36
CG_47          4.0  42.8  5.3 0.15 0.06 0.05 5.5745 0.0009 378  77
DC_274035      4.4  13.3  1.2 0.08 0.02 0.03 4.4791 0.0004 202  57
DC_308643      7.7  25.6  1.5 0.09 0.06 0.02 4.5253 0.0004  32  55
DC_351640      5.7  75.7 27.3 0.31 0.10 0.11 5.7058 0.0005  75  36
DC_372292      9.6  10.3  1.0 0.17 0.13 0.07 5.1364 0.0005  48  44
DC_400160      4.5  10.9  1.0 0.04 0.03 0.02 4.5404 0.0007 200  58
DC_403030      5.0  10.9  2.1 0.03 0.02 0.01 4.5594 0.0004 350  36
DC_416105      5.3  71.5 14.5 0.47 0.14 0.12 5.6309 0.0005 103  40 
DC_417567      6.4   9.4  1.9 0.03 0.02 0.01 5.6700 0.0005 386  60
DC_422677      7.1  11.5  1.8 0.01 0.01 0.00 4.4381 0.0004 308  54
DC_430951      4.1 106.2 27.1 0.64 0.19 0.20 5.6880 0.0020 201  63
DC_432340      5.5  17.6  2.1 0.05 0.04 0.02 4.4045 0.0004  94  39
DC_434239      7.4   4.8  1.0 0.00 0.00 0.00 4.4883 0.0004 136  64
DC_488399     26.2  18.0  2.7 0.08 0.07 0.04 5.6704 0.0005 377  60
DC_493583      8.3  24.7  3.6 0.11 0.08 0.05 4.5134 0.0004 157  45
DC_494057     17.1  22.8  1.7 0.13 0.08 0.06 5.5448 0.0005  32  42
DC_494763     10.5  47.0 20.0 0.10 0.09 0.05 5.2337 0.0004 250  60
DC_510660      4.0 100.7 43.0 0.51 0.14 0.22 4.5480 0.0010 324  59
DC_519281      6.7   7.4  1.3 0.03 0.02 0.02 5.5759 0.0005 100  53
DC_536534      5.0  24.0  5.5 0.08 0.07 0.03 5.6886 0.0006 255  85
DC_539609      8.9  29.0  4.7 0.25 0.05 0.05 5.1818 0.0005   4  50
DC_627939     13.0   6.3  1.8 0.01 0.01 0.00 4.5341 0.0004 216  49
DC_628063      3.8  37.4 18.6 0.09 0.08 0.05 4.5327 0.0005 281  60
DC_630594     11.2  34.2 16.8 0.09 0.08 0.04 4.4403 0.0004 336  64
DC_665509      4.8  25.5  3.8 0.20 0.08 0.08 4.5256 0.0004 178  50
DC_665626      4.4  19.4  6.9 0.12 0.06 0.06 4.5773 0.0004 257  41
DC_680104      4.2  23.8  6.3 0.16 0.05 0.05 4.5295 0.0004 113  45
DC_709575      5.5  21.8  3.4 0.12 0.11 0.06 4.4121 0.0004 188  44
DC_733857      7.3  19.8  2.3 0.08 0.05 0.03 4.5445 0.0004 259  42
DC_742174      4.8  58.0 12.6 0.20 0.07 0.08 5.6360 0.0005  81  36
DC_773957      8.5  19.0  4.4 0.10 0.07 0.04 5.6773 0.0005 345  50
DC_803480      3.7  56.8 14.7 0.28 0.05 0.06 4.5417 0.0004  27  38
DC_814483      4.6   5.2  1.0 0.04 0.03 0.02 4.5810 0.0004 155  50
DC_848185     18.3   5.3  1.0 0.00 0.00 0.00 5.2931 0.0004 509  48
DC_859732      4.3  21.0 10.6 0.19 0.16 0.09 4.5318 0.0005 135  57
DC_873321      7.5   8.3  1.0 0.08 0.04 0.03 5.1542 0.0004 180  45
DC_873756     32.6  19.9  3.6 0.32 0.21 0.21 4.5457 0.0004 129  71
DC_880016      8.6   5.9  1.0 0.01 0.01 0.00 4.5415 0.0004 254  53
DC_881725     12.3  10.3  3.2 0.01 0.01 0.00 4.5777 0.0004 408  46
vc_5100537582  8.1  19.3  1.2 0.09 0.06 0.04 4.5501 0.0004   4 146
vc_5100541407 11.4  15.7  2.4 0.02 0.02 0.01 4.5630 0.0004  11 146
vc_5100822662 14.9   7.6  1.0 0.01 0.01 0.00 4.5205 0.0004 403 242
vc_5100994794 12.0   9.9  1.2 0.02 0.02 0.01 4.5802 0.0004 268 192
vc_5101210235  4.3  25.4  1.0 0.20 0.05 0.06 4.5761 0.0004  16 144
vc_5101244930  5.0  22.4  1.4 0.11 0.08 0.05 4.5803 0.0006  27 150
vc_510605533   4.9  12.8  1.0 0.06 0.02 0.02 4.5019 0.0006 460 146
vc_510786441  11.1  32.4  1.4 0.25 0.09 0.12 4.4635 0.0004 157 197
vc_5180966608 12.5 117.9 19.1 0.02 0.02 0.01 4.5296 0.0004  90 195
