# From Erb+14, Steidel+14
#obj muv wlya dv zneb
Q0100-BX118 -20.75 10.4 414.6 2.1091
Q0100-BX148 -20.75 4.3 455.2 1.9635
Q0100-BX187 -19.96 132.3 257.0 2.2659
Q0100-BX239 -21.24 3.6 308.6 2.3033
Q0100-BX277 -20.56 5.4 424.7 2.1058
Q0100-BX282 -21.10 182.2 85.8 2.4935
Q0100-BX288 -21.16 4.2 144.9 2.1032
Q0100-C7 -21.21 6.7 333.9 3.0405
Q0100-D6 -22.43 41.7 166.3 2.9658
Q0100-MD40 -20.69 -3.0 433.5 2.2506
Q0142-BX138 -20.56 16.1 429.8 2.4176
Q0142-BX180 -20.21 5.5 544.3 2.4148
Q0142-BX186 -19.95 14.0 366.2 2.3569
Q0142-BX187 -20.82 9.6 468.2 2.0093
Q0142-BX196 -20.17 -5.1 266.1 2.4919
Q0142-BX214 -20.83 -22.7 575.4 2.3865
Q0142-BX241 -20.31 -17.1 812.4 2.2841
Q0142-BX245 -20.53 6.9 452.8 2.0454
Q0142-BX266 -20.47 16.5 402.8 2.4983
Q0142-BX61 -20.90 2.5 458.9 2.0703
Q0142-C12 -21.26 3.0 473.8 2.9233
Q0207-BX144 -21.19 28.3 165.6 2.16825
Q0207-BX155 -20.05 14.2 380.3 2.1536
Q0207-BX243 -20.89 12.0 307.8 2.03858
Q0207-BX285 -20.57 12.7 0.0 2.1503
Q0207-BX74 -20.78 90.2 -43.2 2.18886
Q0207-BX87 -21.15 68.2 170.9 2.19218
Q0449-BX138 -20.24 17.7 689.1 2.3932
Q0449-BX167 -21.10 10.1 473.5 2.3557
Q0449-BX49 -21.38 -15.6 344.2 2.0485
Q0449-BX68 -20.55 25.9 334.3 2.4970
Q0449-BX70 -20.98 4.5 318.9 2.4782
Q0449-BX92 -20.26 36.8 52.9 2.4020
Q0821-BX207 -21.06 5.0 184.4 2.4135
Q0821-BX221 -20.31 2.8 361.9 2.3959
Q0821-BX45 -21.61 10.8 -216.8 2.1803
Q0821-BX47 -21.34 24.4 311.8 2.4614
Q0821-BX77 -21.12 31.2 418.6 2.2944
Q0821-BX92 -20.28 21.9 307.1 2.4165
Q0821-MD40 -21.58 24.3 138.6 3.3250
Q0821-MD5 -20.94 26.6 347.5 2.5369
Q1009-BX215 -21.11 4.1 162.5 2.5061
Q1009-BX222 -20.08 3.5 561.6 2.2031
Q1217-BX95 -21.07 12.7 332.6 2.4250
Q1442-BX154 -20.75 3.4 288.5 2.4297
Q1442-BX159 -21.14 7.3 140.1 1.9956
Q1442-BX160 -21.51 -5.4 566.2 2.4415
Q1442-BX305 -20.87 61.4 110.8 2.5163
Q1549-BX102 -20.63 47.1 244.1 2.1932
Q1549-BX121 -19.85 10.8 711.3 2.4983
Q1549-BX170 -20.68 3.3 460.7 2.3841
Q1549-BX202 -20.85 27.6 275.4 2.4831
Q1549-BX207 -20.82 14.2 337.0 2.3802
Q1549-BX223 -20.83 10.6 241.7 2.3493
Q1549-BX42 -20.02 4.5 400.4 2.2195
Q1549-BX48 -19.96 9.8 221.6 2.5170
Q1549-BX51 -20.51 6.8 410.1 2.2895
Q1549-BX54 -20.01 14.1 433.3 2.3212
Q1549-C19 -20.89 54.9 288.1 3.1623
Q1549-C20 -20.77 10.6 -174.7 3.1174
Q1549-C5 -20.21 60.3 201.3 3.1702
Q1549-D16 -21.60 5.0 362.6 3.1340
Q1549-D7 -21.22 11.9 472.2 2.9363
Q1549-MD18 -20.08 14.2 392.7 2.5117
Q1549-MD21 -20.95 8.0 347.8 2.5342
Q1549-MD5 -20.59 7.5 238.8 3.1427
Q1549-MD7 -20.36 0.1 560.7 2.8499
Q1603-BX127 -21.13 8.5 531.6 2.5527
Q1603-BX294 -22.22 21.9 217.2 2.4510
Q1623-BX129 -21.05 23.6 226.3 2.3125
Q1623-BX274 -21.94 -5.8 263.7 2.4100
Q1623-BX376 -21.86 -12.9 598.1 2.4085
Q1623-BX428 -20.91 -2.1 549.7 2.0538
Q1623-BX453 -21.60 -0.2 207.3 2.1816
Q1623-BX502 -20.61 30.7 399.0 2.1558
Q1623-BX513 -21.78 -1.9 480.1 2.2473
Q1623-BX599 -21.66 -1.2 882.2 2.3304
Q1700-BX490 -22.28 -1.5 741.6 2.3958
Q1700-BX553 -20.73 33.9 319.5 2.4719
Q1700-BX563 -21.25 -5.9 819.8 2.2910
Q1700-BX585 -20.37 21.0 380.8 2.3068
Q1700-BX625 -20.36 26.0 292.4 2.0753
Q1700-BX632 -19.90 29.1 268.8 2.2341
Q1700-BX689 -21.17 28.5 301.4 2.2827
Q1700-BX711 -20.01 3.0 118.3 2.2947
Q1700-BX717 -20.41 45.7 200.7 2.4357
Q1700-BX763 -20.82 7.9 373.4 2.2919
Q1700-BX772 -20.15 13.7 403.7 2.3415
Q1700-BX794 -21.44 3.0 480.0 2.2478
Q1700-BX880 -20.21 5.7 130.9 2.4365
Q1700-BX919 -20.65 14.5 327.3 2.2976
Q1700-BX929 -21.25 -4.1 272.0 2.3063
Q1700-BX949 -20.41 26.0 473.5 2.1660
Q1700-BX984 -21.57 6.7 236.5 2.2964
Q2206-BX151 -20.96 82.0 243.8 2.1974
Q2343-BX169 -21.89 -13.9 737.9 2.2094
Q2343-BX182 -21.33 30.1 209.7 2.2877
Q2343-BX231 -20.09 62.8 85.7 2.4990
Q2343-BX236 -20.91 4.6 253.1 2.435
Q2343-BX283 -19.71 12.7 491.6 2.0490
Q2343-BX418 -21.09 54.1 253.9 2.3058
Q2343-BX435 -20.69 -2.1 327.5 2.1119
Q2343-BX436 -22.03 3.2 342.3 2.3277
Q2343-BX445 -19.94 22.6 515.9 2.5445
Q2343-BX460 -20.49 68.2 185.5 2.3945
Q2343-BX461 -20.88 -20.5 815.4 2.5662
Q2343-BX480 -21.25 -6.6 334.0 2.2316
Q2343-BX493 -21.48 -6.3 457.8 2.3396
Q2343-BX513 -20.98 17.9 462.8 2.1092
Q2343-BX529 -20.50 -14.1 587.5 2.1129
Q2343-BX530 -19.64 14.9 463.1 2.1721
Q2343-BX558 -19.92 -7.2 484.9 2.2767
Q2343-BX587 -21.56 -8.2 563.9 2.2429
Q2343-BX601 -21.66 -8.9 443.9 2.3770
Q2343-BX610 -21.42 8.7 326.9 2.2094
Q2343-BX618 -21.13 45.0 161.6 2.8959
Q2343-BX660 -20.61 21.9 245.5 2.1744
Q2343-BX70 -20.23 45.0 387.0 2.4086
Q2343-D25 -20.28 -8.7 404.5 2.1869
Q2343-MD37 -19.98 6.3 376.4 2.4244
Q2343-MD37b -19.98 6.3 350.2 2.4247
Q2343-MD86 -19.95 49.2 -44.1 2.3975
