# Erb+2014 Lya velocity shift versus dispersion
# DV	sigma
25.74     28.98  
36.11     54.06  
110.31     58.03 
137.87     30.20 
159.82     40.14 
182.13     26.97 
209.69     79.10 
220.82     58.72 
244.36     39.96 
263.49     57.98 
277.60     96.13 
343.57     65.08 
343.56     59.99 
392.92     101.19
397.87     76.11 
441.61     112.16
454.80     42.11 
501.07     82.09 
508.37     173.33
508.01     33.97 
841.06     59.02 
971.02     83.10 
43.91     41.15  
63.12     38.89  
71.36     37.14  
87.14     39.81  
142.02     44.14 
145.45     34.77 
219.55     34.77 
236.02     28.81 
273.76     36.21 
288.16     33.95 
299.83     31.89 
227.10     56.79 
