#obj muv specew photew dv zneb
BNB17 -20.59 >9 33 840 2.2838
BNB18 -20.34 >11 30 344 2.3135
BNB19 -21.13 >21 35 393 2.2837
BNB26 -19.82 >13 34 210 2.2776
BNB27 -21.98 >18 35 237 2.2928
BNB29 -20.00 11 28 455 2.2930
BNB36 -20.24 >39 47 264 2.2949
BNB42 -19.05 >60 102 73 2.2742
BNB47 -19.00 >13 33 273 2.2935
BNB51 -18.98 >23 91 245 2.3100
BNB88 -18.94 >16 43 45 2.3002
BNB93 -18.25 >21 73 144 2.3254
BNB95 -19.37 >10 37 508 2.3064
BNB104 -18.59 >20 106 27 2.2942
BNB115 -18.69 17 31 145 2.3064
BNB153 -18.22 >26 85 64 2.2903
BNB157 -18.37 >16 203 299 2.3139
SSA22-001 -21.69 12 21 442 3.0690
SSA22-003 -21.21 40 39 37 3.0965
SSA22-004 -21.28 4 36 970 3.0788
SSA22-006 -18.61 >15 90 508 3.0691
SSA22-008 -20.74 31 30 501 3.0692
SSA22-009 -19.77 >46 87 162 3.0687
SSA22-012 -20.87 >15 31 278 3.0902
SSA22-013 -19.65 >32 122 227 3.0919
SSA22-014 -19.79 >8 62 288 3.0631
SSA22-021 -18.61 >46 92 221 3.0670
SSA22-042 -20.11 >16 35 398 3.0666
SSA22-046 -18.63 >10 >277 183 3.0975
SSA22-062 -19.07 >36 49 140 3.0551
SSA22-063 -19.08 >27 83 88 3.0978
SSA22-066 -18.97 >6 20 111 3.0645
SSA22-067 -19.23 >17 40 344 3.1013
SSA22-072 -18.62 >11 102 -37 3.0845
SSA22-078 -19.67 >5 46 220 3.0870
SSA22-082 -18.62 >12 72 -22 3.0873
