slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
164,761,3DHST_2482,189.018036,62.143227,0,0,0.0010000000474974513,402,2000,TARGET,7583.718686148629,10106.376548664739,A
3,6,Hu10_z6_7,189.032761,62.14397,0,0,0.0010000000474974513,1,2000,TARGET,7629.184137417976,10151.821434143027,A
375,1648,3DHST_3065,189.0215,62.148087,0,0,0.0010000000474974513,1331,2000,TARGET,7584.47742700865,10107.134277051573,A
110,524,3DHST_2573,189.063202,62.145027,0,0,0.0010000000474974513,152,2000,TARGET,7724.195299723179,10246.789707993481,A
156,726,3DHST_3958,189.005524,62.155167,0,0,0.0010000000474974513,366,2000,TARGET,7518.488113710912,10041.17371033821,A
310,1353,3DHST_4348,189.000549,62.157944,0,0,0.0010000000474974513,1022,2000,TARGET,7496.755881241214,10019.450894877968,A
135,632,3DHST_4527,189.017929,62.1595,0,0,0.0010000000474974513,269.9998779296875,2000,TARGET,7549.080367790205,10071.751669399831,A
350,1548,3DHST_4860,189.016846,62.161648,0,0,0.0010000000474974513,1227,2000,TARGET,7541.138563940581,10063.81317536786,A
366,1613,3DHST_5504,189.000641,62.166183,0,0,0.0010000000474974513,1294,2000,TARGET,7479.8779344717705,10002.579533728567,A
28,136,z6_GNW_10897,188.976089,62.171894,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7389.488394042605,9912.229936358748,A
9,36,z6_GNW_10822,188.9953,62.171459,0,0,0.0010000000474974513,3,2000,TARGET,7451.875563985527,9974.589140099832,A
4,17,z5_GNW_10084,189.057281,62.166943,0,0,0.0010000000474974513,3,2000,TARGET,7659.489007544308,10182.10986819013,A
138,643,3DHST_7381,188.989899,62.178642,0,0,0.0010000000474974513,281,2000,TARGET,7419.832222472935,9942.559413615172,A
25,130,z5_GNW_11226,189.04805,62.174236,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7614.977853340394,10137.617934496024,A
7,33,z5_GNW_11324,189.068375,62.174931,0,0,0.0010000000474974513,3,2000,TARGET,7678.594107357357,10201.205585398182,A
85,424,3DHST_8391,189.024551,62.183632,0,0,0.0010000000474974513,45,2000,TARGET,7520.624888654645,10043.30638417393,A
142,683,3DHST_10998,188.939285,62.196743,0,0,0.0010000000474974513,323,2000,TARGET,7220.918889555062,9743.733548863958,A
26,133,z5_GNW_12482,189.079254,62.182869,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7697.299647170975,10219.902022368091,A
10,37,z6_GNW_14478,189.00145,62.194984,0,0,0.0010000000474974513,3,2000,TARGET,7423.74383978691,9946.467765228741,A
5,18,z5_GNW_15423,188.979294,62.201313,0,0,0.0010000000474974513,3,2000,TARGET,7340.069948021129,9862.830844887987,A
14,41,z6_GNW_16088,188.953293,62.207077,0,0,0.0010000000474974513,3,2000,TARGET,7245.204549561489,9768.007483657606,A
32,140,z5_GNW_16472,188.951706,62.211136,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7232.075124967282,9754.883641882558,A
234,1082,3DHST_11411,189.068649,62.199062,0,0,0.0010000000474974513,734,2000,TARGET,7630.9504972140385,10153.581349589684,A
8,35,z6_GNW_16141,189.019241,62.207722,0,0,0.0010000000474974513,3,2000,TARGET,7455.468658523398,9978.177450435394,A
12,39,z6_GNW_16618,188.99588,62.212585,0,0,0.0010000000474974513,3,2000,TARGET,7370.973465394301,9893.719744226026,A
