index,slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask,ID,ID_Fink,ID_bino,ID_3DHST,id,zspec,z_Lya,z_fink,z_bouw,photoz,flux_Lya,EW_Lya,FWHM_kms_Lya,Hmag,Jmag,lmass,Reference
0,3,10,Stark11_43_3982,189.039261,62.247654000000004,0,0,0.0010000000474974509,1.0,2000,TARGET,7718.780538145898,10241.372704379695,A,2019,Stark11_43_3982,z6_GND_21202,,,,,5.71,5.570000171661377,,,,,,,,,Stark11
1,155,1556,3DHST_34718,189.16574097,62.32295609,0,0,0.0010000000474974509,6.0,2000,TARGET,7515.679259914965,10038.360136472846,A,2019,3DHST_34718,,,,,,,,,0.7913,,,,,23.29170684519529,,
2,128,1482,3DHST_32698,189.19586182,62.3069458,0,0,0.0010000000474974509,6.0,2000,TARGET,7666.982522042367,10189.596148569151,A,2019,3DHST_32698,,,,,,,,,0.9067,,,,,25.294129869551,,
3,187,1614,3DHST_36327,189.19880676,62.33670807,0,0,0.0010000000474974509,6.0,2000,TARGET,7500.085060373101,10022.773833727917,A,2019,3DHST_36327,,,,,,,,,0.9043,,,,,24.47809066834591,,
4,196,1628,3DHST_36728,189.19725037,62.34141922,0,0,0.0010000000474974509,6.0,2000,TARGET,7469.780748456869,9992.483134153144,A,2019,3DHST_36728,,,,,,,,,0.8072,,,,,24.0561424795565,,
5,197,1629,3DHST_36731,189.20278931,62.34135818,0,0,0.0010000000474974509,6.0,2000,TARGET,7480.953858008083,10003.651400666013,A,2019,3DHST_36731,,,,,,,,,0.7935,,,,,24.068180147786013,,
6,203,1637,3DHST_36951,189.20562744,62.34440231,0,0,0.0010000000474974509,6.0,2000,TARGET,7468.903212373827,9991.606301999524,A,2019,3DHST_36951,,,,,,,,,0.7881,,,,,25.509535867279574,,
7,151,1550,3DHST_34570,189.24674988,62.32096863,0,0,0.0010000000474974509,6.0,2000,TARGET,7684.779006187235,10207.386178870003,A,2019,3DHST_34570,,,,,,,,,0.8404,,,,,24.15485531145061,,
8,202,1636,3DHST_36894,189.21772766,62.34365082,0,0,0.0010000000474974509,6.0,2000,TARGET,7496.9446059733145,10019.63550577177,A,2019,3DHST_36894,,,,,,,,,0.9005,,,,,25.838935713722897,,
9,175,1595,3DHST_35970,189.2394104,62.33294678,0,0,0.0010000000474974509,6.0,2000,TARGET,7601.2527646211865,10123.897399956777,A,2019,3DHST_35970,,,,,,,,,0.8534,,,,,25.58871906286211,,
