ID z_fink ra dec
z4_GND_8396 4.510000228881836 189.245087 62.286224
z4_GND_40898 4.510000228881836 189.191788 62.181374
z4_GND_6109 4.510000228881836 189.202072 62.318241
z4_GND_3119 4.510000228881836 189.289017 62.174297
z4_GND_30316 4.510000228881836 189.423584 62.217903
z4_GND_30702 4.510000228881836 189.168396 62.216724
z4_GND_43184 4.510000228881836 189.155746 62.298054
z4_GND_3244 4.510000228881836 189.225479 62.175087
z4_GND_2511 4.519999980926514 189.314178 62.170067
z4_GND_44923 4.53000020980835 189.163116 62.280579
z4_GND_21109 4.53000020980835 189.293671 62.245102
z4_GND_222 4.539999961853027 189.270920 62.144314
z4_GND_15876 4.539999961853027 189.155075 62.258999
z4_GND_12896 4.539999961853027 189.080673 62.267456
z4_GND_5037 4.539999961853027 189.209793 62.326908
z4_GND_8945 4.539999961853027 189.090302 62.282791
z4_GND_30480 4.550000190734863 189.260773 62.217323
z4_GND_1832 4.550000190734863 189.313934 62.164726
z4_GND_1055 4.550000190734863 189.286255 62.156479
z4_GND_12956 4.550000190734863 189.274246 62.267323
z4_GND_22824 4.559999942779541 189.167511 62.239498
z4_GND_35902 4.559999942779541 189.312500 62.200302
z4_GND_21304 4.559999942779541 189.301468 62.243744
z4_GND_38566 4.559999942779541 189.183167 62.190731
z4_GND_11971 4.570000171661377 189.057312 62.270054
z4_GND_19046 4.570000171661377 189.256866 62.250210
z4_GND_44591 4.570000171661377 189.078888 62.285324
z4_GND_37786 4.570000171661377 189.356155 62.193451
z4_GND_36038 4.570000171661377 189.285660 62.199734
z4_GND_12156 4.570000171661377 189.272690 62.269634
z4_GND_36078 4.579999923706055 189.173645 62.199574
z4_GND_38464 4.579999923706055 189.297302 62.190754
z4_GND_10603 4.590000152587891 189.154083 62.274948
z4_GND_20104 4.590000152587891 189.097046 62.246967
z4_GND_28154 4.599999904632568 189.282455 62.224598
z4_GND_3952 4.619999885559082 189.215088 62.178890
z4_GND_6903 4.630000114440918 189.147339 62.312916
z4_GND_17017 4.639999866485596 189.302002 62.255863
z4_GND_39954 4.639999866485596 189.268326 62.185257
z4_GND_19979 4.639999866485596 189.284134 62.247604
z4_GND_34589 4.670000076293945 189.199158 62.203831
z4_GND_18340 4.670000076293945 189.283417 62.252323
z4_GND_9863 4.690000057220459 189.120255 62.277969
z4_GND_35883 4.769999980926514 189.152328 62.199200
z4_GNW_4937 4.510000228881836 189.091064 62.137291
z4_GNW_23448 4.510000228881836 189.433731 62.301777
z4_GNW_8838 4.519999980926514 189.063065 62.159645
z4_GNW_29236 4.519999980926514 189.348236 62.343998
z4_GNW_19856 4.53000020980835 189.273132 62.325275
z4_GNW_30197 4.53000020980835 189.291809 62.346630
z4_GNW_614 4.53000020980835 189.143921 62.103600
z4_GNW_1260 4.53000020980835 189.162781 62.109459
