# ID	RA	DEC	zLya	Ref
Stark11_43_3982	12:36:09.4	+62:14:51.3	5.71	Stark11
Stark11_42_6706	12:36:19.1	+62:08:30.8	5.97	Stark11
Stark11_42_11475	12:36:33.4	+62:11:12.8	5.95	Stark11
Stark11_42_13066	12:36:37.5	+62:11:51.8	5.61	Stark11
Stark11_41_13100	12:36:37.6	+62:06:55.2	5.81	Stark11
Stark11_32_16773	12:36:47.5	+62:11:59.9	5.97	Stark11
Stark11_33_17705	12:36:50.0	+62:13:55.7	5.8	Stark11
Stark11_33_19990	12:36:55.4	+62:15:08.4	5.99	Stark11
Stark11_35_22248	12:37:01.0	+62:21:14.2	5.7	Stark11
Stark11_35_22381	12:37:01.3	+62:21:27.9	5.7	Stark11
Stark11_34_24923	12:37:08.3	+62:17:15.0	5.94	Stark11
Stark11_24_26902	12:37:13.8	+62:19:24.4	5.94	Stark11
Stark11_24_28120	12:37:17.2	+62:17:24.4	5.97	Stark11
