ID	RA_deg	Dec_deg	z_Lya	Reference
Hu10_z6_1	189.21524	62.32683	5.675	Hu10
Hu10_z6_2	189.216751	62.3646	5.689	Hu10
Hu10_z6_3	189.056106	62.12994	5.635	Hu10
Hu10_z6_4	189.25412	62.35397	-99	Hu10
Hu10_z6_5	189.39975	62.23944	-99	Hu10
Hu10_z6_6	189.324677	62.29974	5.663	Hu10
Hu10_z6_7	189.033004	62.14394	5.64	Hu10
Hu10_z6_8	189.456543	62.22942	-99	Hu10
Hu10_z6_9	189.342285	62.26277	-99	Hu10
Hu10_z6_10	189.045471	62.17144	5.673	Hu10
Hu10_z6_11	189.366013	62.19613	-99	Hu10
Hu10_z6_12	189.320419	62.23344	-99	Hu10
Hu10_z7_1	189.35817	62.20769	6.559	Hu10
Hu10_z7_2	189.356873	62.29541	-99	Hu10
Hu10_z7_3	189.093689	62.23458	6.56	Hu10
Hu10_z7_4	189.157135	62.17277	6.546	Hu10
Jung18_z6_GND_28438	189.177979	62.223713	6.551	Jung18
Jung18_z6_GND_5752	189.199585	62.320965	6.583	Jung18
Jung18_z7_GND_10402	189.179276	62.275894	6.697	Jung18
Stark11_43_3982	189.0391667	62.24758333	5.71	Stark11
Stark11_42_6706	189.0795833	62.14188889	5.97	Stark11
Stark11_42_11475	189.1391667	62.18688889	5.95	Stark11
Stark11_42_13066	189.15625	62.19772222	5.61	Stark11
Stark11_41_13100	189.1566667	62.11533333	5.81	Stark11
Stark11_32_16773	189.1979167	62.19997222	5.97	Stark11
Stark11_33_17705	189.2083333	62.23213889	5.8	Stark11
Stark11_33_19990	189.2308333	62.25233333	5.99	Stark11
Stark11_35_22248	189.2541667	62.35394444	5.7	Stark11
Stark11_35_22381	189.2554167	62.35775	5.7	Stark11
Stark11_34_24923	189.2845833	62.2875	5.94	Stark11
Stark11_24_26902	189.3075	62.32344444	5.94	Stark11
Stark11_24_28120	189.3216667	62.29011111	5.97	Stark11
