ID z_fink z_bouw Hmag ra dec
z5_GNW_27194 5.39 5.36 24.60 189.523804 62.278839
z5_GNW_28218 5.44 5.56 24.16 189.503250 62.273884
z5_GNW_25408 5.30 5.24 25.86 189.457428 62.289562
z5_GND_36668 5.42 5.36 26.46 189.376678 62.197426
z5_GNW_32760 5.16 5.12 26.09 189.451263 62.241043
z5_GNW_30244 5.27 5.30 26.11 189.418915 62.259678
z5_GNW_30237 5.13 5.24 25.27 189.418411 62.259842
z5_GNW_29609 5.24 5.36 26.02 189.436447 62.265049
z5_GNW_28982 5.33 5.18 27.04 189.443680 62.269379
z5_GNW_28827 5.51 5.06 27.25 189.367249 62.270363
z5_GNW_28602 5.28 5.30 26.14 189.375870 62.271450
z5_GNW_26081 5.23 5.06 26.69 189.381042 62.285637
z5_GNW_25250 5.49 5.56 25.78 189.432602 62.290581
z5_GNW_24858 5.01 5.12 25.72 189.414474 62.293190
z5_GNW_24582 5.42 5.30 27.31 189.361115 62.294762
z5_GNW_24063 5.23 5.06 27.03 189.360260 62.297802
z5_GNW_23799 5.44 5.43 26.35 189.324554 62.299732
z5_GNW_23086 5.32 5.30 26.94 189.451691 62.304169
z5_GNW_20906 5.41 5.49 24.96 189.437683 62.318161
z5_GNW_22490 5.27 5.18 26.39 189.394882 62.308056
z5_GNW_21283 5.10 5.24 25.58 189.403549 62.315697
z5_GNW_22097 5.40 5.36 25.96 189.364624 62.310837
z5_GNW_22312 5.24 5.30 25.98 189.339706 62.309032
z5_GNW_21750 5.25 5.30 26.13 189.317093 62.313053
z5_GNW_23042 5.09 5.18 25.61 189.415009 62.333538
z5_GNW_23548 5.19 5.24 26.32 189.415771 62.334045
z6_GNW_20715 5.54 5.49 25.73 189.339859 62.319981
z5_GNW_21219 5.14 5.12 25.91 189.310135 62.330257
z5_GNW_28199 5.16 5.12 26.34 189.382797 62.337444
z5_GNW_28803 5.59 5.43 25.99 189.311783 62.337528
z5_GNW_18766 5.22 5.24 26.35 189.345215 62.362179
z5_GNW_2919 5.30 5.12 25.20 189.203491 62.122383
z5_GNW_3424 5.12 5.18 25.96 189.208527 62.126209
z5_GNW_3433 5.19 5.18 25.97 189.205490 62.126289
z5_GNW_4321 5.22 5.06 27.20 189.194138 62.132847
z5_GNW_7098 5.24 5.24 25.72 189.214188 62.149055
z5_GNW_5021 5.16 5.24 26.55 189.181732 62.137760
z6_GNW_8973 5.62 5.43 26.46 189.167801 62.160194
z5_GNW_9029 5.32 5.36 26.60 189.168854 62.160538
z5_GND_35084 5.17 5.30 26.15 189.278580 62.203220
z5_GNW_22583 5.17 5.12 25.94 189.298859 62.307564
z5_GNW_19038 5.15 5.12 24.94 189.290970 62.353146
z5_GNW_32117 5.18 5.36 25.91 189.257217 62.353569
z5_GNW_1503 5.23 5.18 25.50 189.139328 62.111233
z5_GNW_1663 5.23 5.24 26.54 189.147537 62.112507
z5_GNW_3328 5.05 5.18 27.31 189.132889 62.125340
z5_GNW_2438 5.43 5.30 26.34 189.106522 62.118481
z5_GNW_4337 5.20 5.30 26.06 189.073959 62.132893
z5_GNW_7248 5.11 5.12 26.30 189.089371 62.149796
z5_GNW_6540 5.38 5.30 26.25 189.023026 62.146069
z5_GNW_8402 5.35 5.30 26.59 189.132050 62.156620
z5_GNW_9155 5.19 5.18 27.11 189.044281 62.161171
z5_GNW_9175 5.19 5.12 26.70 189.054169 62.161289
z5_GNW_9696 5.27 5.30 26.12 189.031815 62.164223
z5_GNW_10657 5.12 5.06 26.00 189.130219 62.170780
z5_GNW_10304 5.17 5.12 25.68 189.112167 62.168396
z5_GNW_11014 5.34 5.30 26.11 189.073074 62.172878
z5_GNW_11120 5.27 5.30 25.64 189.050674 62.173576
z5_GNW_11226 5.47 5.36 26.92 189.048050 62.174236
z5_GNW_11701 5.07 5.18 26.37 189.055405 62.177502
z5_GNW_13381 5.24 5.24 25.96 189.104095 62.188435
z5_GNW_13431 5.37 5.43 25.82 189.105881 62.188835
z5_GNW_12482 5.33 5.30 25.95 189.079254 62.182869
z5_GNW_13254 5.24 5.24 24.82 189.039703 62.187725
z5_GND_20529 5.34 5.30 26.47 189.125778 62.245922
z5_GND_45250 5.39 5.36 26.24 189.064270 62.274292
z5_GND_45184 5.39 5.62 27.51 189.062866 62.276150
z6_GNW_10897 5.51 5.43 26.08 188.976089 62.171894
z5_GNW_11071 5.02 5.12 26.39 188.972427 62.173115
z5_GNW_13514 5.22 5.18 26.13 188.967331 62.189121
z6_GNW_14534 5.60 5.49 26.04 188.985962 62.195339
z5_GNW_16472 5.13 5.06 26.68 188.951706 62.211136
z5_GND_3481 5.13 5.12 27.00 189.329285 62.176426
z5_GND_37205 5.39 5.30 26.76 189.355759 62.195465
z5_GND_39362 5.28 5.30 27.54 189.319550 62.187557
z5_GND_36876 5.07 5.12 27.01 189.320007 62.196701
z5_GND_30288 5.17 5.12 26.80 189.425446 62.217979
z6_GND_30340 5.51 5.18 26.94 189.388916 62.217834
z5_GND_32413 5.27 5.24 26.61 189.357834 62.211445
z5_GND_33208 5.10 5.06 27.73 189.307465 62.209076
z5_GND_32576 5.26 5.24 25.18 189.305771 62.210899
z5_GND_29662 5.20 5.49 27.90 189.316406 62.219872
z5_GND_28819 5.13 5.30 26.51 189.365326 62.222359
z5_GND_28426 5.22 5.12 26.00 189.322235 62.223690
z5_GND_28421 5.29 5.69 26.82 189.321533 62.223774
z5_GND_25573 5.09 5.24 26.93 189.328232 62.231686
z5_GND_25091 5.22 5.30 27.36 189.338287 62.233139
z5_GND_24948 5.43 5.49 25.19 189.320312 62.233444
z5_GND_28981 5.42 5.56 25.95 189.310776 62.221935
z5_GND_18617 5.38 5.49 24.71 189.353439 62.250774
z5_GND_20890 5.26 5.18 26.61 189.340775 62.244846
z5_GND_23860 5.29 5.30 25.23 189.314392 62.236462
z5_GND_19218 5.13 5.18 27.20 189.306992 62.249779
z5_GND_16389 5.25 5.18 26.38 189.360291 62.257557
z5_GND_15025 5.49 5.43 26.73 189.324448 62.261330
z5_GND_13471 5.65 5.36 27.43 189.337601 62.265736
z6_GND_13524 5.65 5.12 26.03 189.337402 62.266106
z5_GND_15899 5.22 5.43 26.73 189.309113 62.258888
z5_GND_14131 5.41 5.36 26.04 189.315414 62.263824
z5_GND_14554 5.51 5.49 26.82 189.332275 62.267471
z5_GND_12472 5.25 5.24 27.11 189.327454 62.268848
z5_GND_11088 5.10 5.06 25.62 189.315125 62.273216
z5_GND_993 5.17 5.43 27.18 189.283447 62.155670
z5_GND_908 5.30 5.24 26.75 189.245544 62.154888
z5_GND_1447 5.04 5.24 27.48 189.252533 62.160896
z5_GND_2126 5.32 5.36 27.12 189.247681 62.167103
z5_GND_2126 5.32 5.30 25.88 189.247681 62.167103
z5_GND_1303 5.15 5.36 26.18 189.238403 62.159389
z5_GND_1415 5.26 5.49 26.76 189.234848 62.160557
z5_GND_1442 5.30 5.49 27.58 189.233444 62.160805
z5_GNW_9541 5.19 5.24 25.46 189.165833 62.163639
z5_GND_3052 5.08 5.18 25.81 189.288742 62.173836
z5_GND_3651 5.46 5.62 26.33 189.303589 62.177364
z5_GND_2774 5.23 5.49 25.88 189.245148 62.172050
z5_GND_4070 5.43 5.18 26.24 189.255096 62.179371
z5_GND_2210 5.10 5.36 27.32 189.220413 62.167744
z5_GND_40858 5.07 5.43 27.89 189.202209 62.181614
z5_GND_40815 5.33 5.24 26.74 189.194717 62.181686
z5_GND_39799 5.07 5.24 26.35 189.299850 62.185833
z5_GND_38172 5.27 5.36 25.46 189.303299 62.192223
z5_GND_37089 5.16 5.18 27.59 189.277756 62.195721
z5_GND_39516 5.33 5.30 26.98 189.250916 62.187057
z5_GND_39309 5.02 5.18 25.90 189.238617 62.187653
z5_GND_38076 5.15 5.30 25.91 189.259857 62.192493
z6_GND_38075 5.53 5.18 27.15 189.260315 62.192558
z5_GND_37378 5.33 5.18 26.74 189.261703 62.194908
z5_GND_39635 5.31 5.36 25.56 189.215805 62.186470
z5_GND_39609 5.07 5.43 27.56 189.210846 62.186630
z5_GND_40581 5.07 5.24 27.37 189.179810 62.182751
z5_GND_40117 5.23 5.30 25.90 189.177521 62.184551
z5_GND_39570 5.33 5.49 25.06 189.175720 62.186714
z5_GND_39523 5.17 5.36 26.36 189.186615 62.187000
z5_GND_39445 5.03 5.06 26.94 189.178650 62.187237
z5_GND_39164 5.17 5.06 27.64 189.176178 62.188309
z5_GND_35551 5.11 5.43 27.34 189.283676 62.201584
z5_GND_35187 5.17 5.18 26.98 189.292587 62.202457
z5_GND_35187 5.17 5.24 27.77 189.292587 62.202457
z5_GND_35096 5.47 5.49 24.72 189.283508 62.203049
z5_GND_35084 5.17 5.30 26.12 189.278580 62.203220
z5_GND_34362 5.36 5.36 27.07 189.261108 62.203945
z6_GND_34991 6.22 5.49 27.80 189.173401 62.203568
z5_GND_30804 5.37 5.18 27.10 189.291733 62.216358
z5_GND_34379 5.43 5.49 24.00 189.249405 62.205284
z5_GND_33620 5.22 5.06 27.89 189.265457 62.207706
z5_GND_33500 5.50 5.56 25.57 189.261383 62.208023
z5_GND_33414 5.57 5.43 27.74 189.255936 62.208385
z5_GND_33094 5.35 5.30 25.13 189.266449 62.209164
z5_GND_32646 5.45 5.49 27.35 189.244049 62.212265
z5_GND_30291 5.44 5.43 27.50 189.240143 62.218090
z5_GND_31569 5.49 5.43 25.57 189.207809 62.213249
z5_GND_30952 5.53 5.36 27.22 189.227539 62.215889
z5_GND_30740 5.27 5.12 26.74 189.221237 62.216541
z5_GND_34594 5.49 5.24 24.39 189.202988 62.204651
z5_GND_31781 5.22 5.18 27.39 189.173172 62.213188
z5_GND_26806 5.13 5.24 25.28 189.273712 62.228466
z5_GND_27870 5.40 5.30 25.49 189.263809 62.225407
z5_GND_24915 5.41 5.30 27.72 189.242813 62.233746
z5_GND_24504 5.03 5.30 27.53 189.269714 62.234455
z5_GND_28944 5.33 5.36 26.32 189.225967 62.222118
z5_GND_23238 5.31 5.76 26.78 189.272186 62.238361
z5_GND_22869 5.46 5.43 25.65 189.273712 62.239220
z5_GND_23181 5.10 5.06 27.52 189.242538 62.238541
z5_GND_19458 5.06 5.30 27.26 189.263565 62.249146
z5_GND_18697 5.45 5.56 25.84 189.302582 62.251148
z5_GND_16018 5.20 5.06 26.88 189.291290 62.258629
z5_GND_15601 5.09 5.24 26.23 189.296097 62.259697
z5_GND_15356 5.22 5.62 25.74 189.282211 62.260399
z5_GND_15151 5.20 5.18 27.24 189.254135 62.261086
z5_GND_14542 5.03 5.06 27.21 189.256897 62.262691
z5_GND_15422 5.16 5.18 27.81 189.227661 62.260273
z5_GND_15712 5.17 5.06 26.50 189.200607 62.259445
z5_GND_13065 5.29 5.12 28.17 189.275375 62.266991
z5_GND_12387 5.25 5.36 27.39 189.277649 62.269089
z5_GND_12659 5.35 5.36 26.15 189.260620 62.268284
z5_GND_12430 5.38 5.24 27.41 189.266220 62.269001
z5_GND_11789 5.04 5.18 25.92 189.243515 62.270794
z5_GND_12705 5.23 5.36 25.64 189.218094 62.268093
z5_GND_11521 5.16 5.30 25.44 189.217407 62.271622
z5_GND_12062 5.27 5.18 26.46 189.188843 62.269917
z5_GND_12796 5.35 5.43 27.35 189.167038 62.267803
z5_GND_10047 5.50 5.56 25.48 189.296280 62.277386
z5_GND_9333 5.51 5.43 26.32 189.277710 62.280643
z5_GND_9255 5.39 5.06 27.49 189.239105 62.281002
z5_GND_44604 5.03 5.56 26.98 189.263397 62.285717
z5_GND_45128 5.30 5.24 27.59 189.238235 62.277245
z5_GND_44836 5.29 5.43 26.04 189.180756 62.282238
z5_GND_8641 5.19 5.18 26.06 189.196930 62.284508
z5_GND_10768 5.07 5.56 26.42 189.172516 62.274570
z5_GND_10054 5.40 5.43 25.08 189.169846 62.277298
z5_GND_9914 5.14 5.24 27.69 189.172379 62.277752
z5_GND_44411 5.41 5.30 26.95 189.159821 62.287952
z5_GND_43555 5.23 5.24 27.65 189.187912 62.297195
z5_GND_7157 5.38 5.24 26.78 189.204910 62.298958
z5_GND_6005 5.20 5.24 26.55 189.215530 62.318878
z5_GND_42189 5.32 5.24 25.89 189.165497 62.306877
z5_GND_4732 5.06 5.30 26.24 189.179245 62.329845
z5_GND_32925 5.36 5.43 26.23 189.156342 62.210011
z5_GND_32711 5.01 5.06 27.00 189.121506 62.210651
z5_GND_32295 5.34 5.49 25.69 189.117996 62.211357
z5_GND_29527 5.13 5.24 25.58 189.100662 62.220226
z5_GND_29491 5.18 5.18 26.83 189.104431 62.220345
z5_GND_28795 5.23 5.36 25.41 189.149551 62.221996
z5_GND_28649 5.49 5.30 27.40 189.140549 62.223026
z5_GND_27871 5.27 5.30 25.44 189.135422 62.225361
z5_GND_27366 5.37 5.30 26.41 189.132629 62.226734
z5_GND_26652 5.08 5.49 26.90 189.127609 62.228935
z5_GND_26558 5.22 5.30 25.55 189.125916 62.229160
z5_GND_25578 5.13 5.30 25.98 189.149429 62.231865
z5_GND_25053 5.34 5.30 26.57 189.151260 62.233215
z5_GND_28693 5.23 5.36 26.87 189.106339 62.222816
z5_GND_28011 5.23 5.24 27.26 189.119797 62.224995
z5_GND_27819 5.40 5.43 25.83 189.110336 62.225437
z5_GND_27023 5.29 5.24 25.98 189.113434 62.227650
z5_GND_25015 5.16 5.18 27.75 189.096848 62.233330
z5_GND_24236 5.27 5.06 27.85 189.117950 62.235527
z5_GND_23616 5.47 5.24 26.56 189.126144 62.237171
z5_GND_23450 5.50 5.36 26.43 189.139206 62.237736
z5_GND_20529 5.34 5.24 26.43 189.125778 62.245922
z5_GND_23926 5.33 5.30 25.79 189.119080 62.236248
z5_GND_23098 5.46 5.43 26.12 189.119629 62.238552
z5_GND_23097 5.29 5.49 26.50 189.120056 62.238659
z5_GND_22822 5.35 5.43 25.45 189.094940 62.239460
z5_GND_22596 5.24 5.36 27.11 189.100861 62.240181
z5_GND_21873 5.34 5.30 26.62 189.124161 62.242218
z5_GND_21520 5.53 5.43 27.51 189.091965 62.243145
z5_GND_21641 5.31 5.30 26.78 189.117630 62.244312
z5_GND_23632 5.32 5.30 27.04 189.083908 62.237129
z5_GND_21153 5.47 5.49 25.43 189.049622 62.244038
