name,ra,dec,priority,type
f_0,189.453601,62.369844,1,standard
f_1,189.462416,62.363585,1,standard
f_2,188.902346,62.363999,1,standard
f_3,188.910191,62.352588,1,standard
Hu10_z6_6,189.324554,62.299732,1,TARGET
Stark11_33_19990,189.231018,62.252335,1,TARGET
Jung18_z7_GND_10402,189.179276,62.275894,1,TARGET
3DHST_17033,189.225769,62.226627,2,TARGET
3DHST_18608,189.208710,62.233650,2,TARGET
3DHST_19140,189.183655,62.236137,2,TARGET
z6_GNW_23437,189.388000,62.301167,3,TARGET
z5_GNW_22336,189.341263,62.309196,3,TARGET
z6_GNW_23350,189.414474,62.333523,3,TARGET
z6_GNW_7317,189.069244,62.150181,3,TARGET
z5_GNW_12024,189.142960,62.179790,3,TARGET
z6_GNW_14511,189.100571,62.195335,3,TARGET
z6_GNW_15180,188.962036,62.199577,3,TARGET
z6_GNW_16070,188.954025,62.206898,3,TARGET
z6_GND_22283,189.211411,62.241070,3,TARGET
z6_GND_18287,189.231018,62.252335,3,TARGET
z6_GND_16399,189.234833,62.257507,3,TARGET
z6_GND_11494,189.288666,62.271809,3,TARGET
z6_GND_8934,189.254196,62.282974,3,TARGET
z5_GND_10574,189.175613,62.275261,3,TARGET
z6_GND_10131,189.169647,62.277069,3,TARGET
z6_GND_43125,189.189148,62.300659,3,TARGET
z6_GNW_11543,189.157440,62.176498,3,TARGET
z6_GND_36607,189.155594,62.197659,3,TARGET
z6_GND_36553,189.156387,62.197773,3,TARGET
z6_GND_32408,189.139297,62.211319,3,TARGET
z6_GND_31259,189.128204,62.214882,3,TARGET
z6_GND_31100,189.111649,62.215378,3,TARGET
z6_GND_28182,189.114838,62.224430,3,TARGET
z6_GND_20167,189.134628,62.247040,3,TARGET
z7_GNW_28182,189.510132,62.274639,3,TARGET
z7_GNW_24671,189.361710,62.294373,3,TARGET
z7_GNW_23360,189.358093,62.302467,3,TARGET
z7_GNW_11595,188.965240,62.176491,3,TARGET
z6_GND_27273,189.197571,62.226986,3,TARGET
z6_GND_22278,189.240829,62.242634,3,TARGET
z7_GND_19479,189.239761,62.248119,3,TARGET
z5_GND_13996,189.162186,62.263817,3,TARGET
z7_GND_11401,189.186600,62.270905,3,TARGET
z6_GND_44831,189.175140,62.282261,3,TARGET
z7_GND_43678,189.235199,62.295593,3,TARGET
z7_GND_42808,189.188400,62.303051,3,TARGET
z7_GND_41647,189.178131,62.310635,3,TARGET
z7_GND_41244,189.177872,62.311699,3,TARGET
z7_GND_15642,189.151978,62.259640,3,TARGET
z7_GNW_23360,189.358093,62.302467,3,TARGET
z5_GNW_27194,189.523804,62.278839,4,TARGET
z5_GNW_25408,189.457428,62.289562,4,TARGET
z5_GND_36668,189.376678,62.197426,4,TARGET
z5_GNW_30244,189.418915,62.259678,4,TARGET
z5_GNW_23799,189.324554,62.299732,4,TARGET
z5_GNW_23086,189.451691,62.304169,4,TARGET
z5_GNW_22490,189.394882,62.308056,4,TARGET
z5_GNW_22312,189.339706,62.309032,4,TARGET
z5_GNW_21750,189.317093,62.313053,4,TARGET
z5_GNW_23042,189.415009,62.333538,4,TARGET
z5_GNW_23548,189.415771,62.334045,4,TARGET
z6_GNW_20715,189.339859,62.319981,4,TARGET
z5_GNW_28199,189.382797,62.337444,4,TARGET
z5_GNW_28803,189.311783,62.337528,4,TARGET
z5_GNW_3433,189.205490,62.126289,4,TARGET
z6_GNW_8973,189.167801,62.160194,4,TARGET
z5_GNW_9029,189.168854,62.160538,4,TARGET
z5_GND_35084,189.278580,62.203220,4,TARGET
z5_GNW_22583,189.298859,62.307564,4,TARGET
z5_GNW_32117,189.257217,62.353569,4,TARGET
z5_GNW_7248,189.089371,62.149796,4,TARGET
z5_GNW_6540,189.023026,62.146069,4,TARGET
z5_GNW_9175,189.054169,62.161289,4,TARGET
z5_GNW_10657,189.130219,62.170780,4,TARGET
z5_GNW_10304,189.112167,62.168396,4,TARGET
z5_GNW_11014,189.073074,62.172878,4,TARGET
z5_GNW_11120,189.050674,62.173576,4,TARGET
z5_GNW_13381,189.104095,62.188435,4,TARGET
z5_GNW_13431,189.105881,62.188835,4,TARGET
z5_GNW_13254,189.039703,62.187725,4,TARGET
z5_GND_20529,189.125778,62.245922,4,TARGET
z5_GNW_11071,188.972427,62.173115,4,TARGET
z5_GNW_13514,188.967331,62.189121,4,TARGET
z6_GNW_14534,188.985962,62.195339,4,TARGET
z5_GND_32576,189.305771,62.210899,4,TARGET
z5_GND_28426,189.322235,62.223690,4,TARGET
z5_GND_28421,189.321533,62.223774,4,TARGET
z5_GND_25573,189.328232,62.231686,4,TARGET
z5_GND_18617,189.353439,62.250774,4,TARGET
z5_GND_20890,189.340775,62.244846,4,TARGET
z5_GND_23860,189.314392,62.236462,4,TARGET
z5_GND_16389,189.360291,62.257557,4,TARGET
z5_GND_15025,189.324448,62.261330,4,TARGET
z6_GND_13524,189.337402,62.266106,4,TARGET
z5_GND_15899,189.309113,62.258888,4,TARGET
z5_GND_14554,189.332275,62.267471,4,TARGET
z5_GND_11088,189.315125,62.273216,4,TARGET
z5_GND_1303,189.238403,62.159389,4,TARGET
z5_GNW_9541,189.165833,62.163639,4,TARGET
z5_GND_3651,189.303589,62.177364,4,TARGET
z5_GND_39799,189.299850,62.185833,4,TARGET
z5_GND_38172,189.303299,62.192223,4,TARGET
z5_GND_39309,189.238617,62.187653,4,TARGET
z5_GND_40117,189.177521,62.184551,4,TARGET
z5_GND_39570,189.175720,62.186714,4,TARGET
z5_GND_39523,189.186615,62.187000,4,TARGET
z5_GND_35187,189.292587,62.202457,4,TARGET
z5_GND_35084,189.278580,62.203220,4,TARGET
z5_GND_34379,189.249405,62.205284,4,TARGET
z5_GND_33094,189.266449,62.209164,4,TARGET
z5_GND_31569,189.207809,62.213249,4,TARGET
z5_GND_30740,189.221237,62.216541,4,TARGET
z5_GND_34594,189.202988,62.204651,4,TARGET
z5_GND_28944,189.225967,62.222118,4,TARGET
z5_GND_23238,189.272186,62.238361,4,TARGET
z5_GND_22869,189.273712,62.239220,4,TARGET
