ID	ra	dec	ID_Fink	z_Lya	z_Fink	Reference
Hu10_z6_5	189.399719	62.239494	z5_GND_22781	-99.0	5.329999923706055	Hu10
Hu10_z6_11	189.365982	62.196171	z5_GND_37006	-99.0	5.389999866485596	Hu10
Hu10_z6_12	189.320312	62.233444	z5_GND_24948	-99.0	5.429999828338623	Hu10
Hu10_z6_9	189.342285	62.262852	z5_GND_14430	-99.0	5.510000228881836	Hu10
Hu10_z6_7	189.032761	62.14397	z5_GNW_6135	5.64	5.010000228881836	Hu10
Hu10_z6_6	189.324554	62.299732	z5_GNW_23799	5.663	5.440000057220459	Hu10
Hu10_z6_4	189.253998	62.353954	z5_GNW_32160	-99.0	5.510000228881836	Hu10
Stark11_35_22248	189.253998	62.353954	z5_GNW_32160	5.7	5.510000228881836	Stark11
Hu10_z6_3	189.055939	62.12999	z5_GNW_3960	5.635	5.519999980926514	Hu10
Stark11_43_3982	189.039261	62.247654	z6_GND_21202	5.71	5.570000171661377	Stark11
Jung18_z6_GND_5752	189.199585	62.320965	z6_GND_5752	6.583	5.699999809265137	Jung18
Stark11_42_13066	189.156387	62.197773	z6_GND_36553	5.61	5.71999979019165	Stark11
Stark11_42_13066	189.156387	62.197666	z6_GND_36554	5.61	5.71999979019165	Stark11
Stark11_33_17705	189.208191	62.23214	z6_GND_25488	5.8	5.75	Stark11
Stark11_32_16773	189.1978	62.199982	z6_GND_35989	5.97	5.75	Stark11
Stark11_34_24923	189.284531	62.287498	z6_GND_8220	5.94	5.989999771118164	Stark11
Stark11_33_19990	189.231018	62.252335	z6_GND_18287	5.99	6.0	Stark11
Jung18_z6_GND_28438	189.177979	62.223713	z6_GND_28438	6.551	6.119999885559082	Jung18
Hu10_z7_1	189.358261	62.207642	z6_GND_33623	6.559	6.170000076293945	Hu10
Stark11_35_22381	189.255386	62.35775	z6_GNW_32731	5.7	5.769999980926514	Stark11
Stark11_24_28120	189.321457	62.2901	z6_GNW_25620	5.97	5.820000171661377	Stark11
Stark11_24_26902	189.307617	62.323444	z6_GNW_20152	5.94	5.840000152587891	Stark11
Stark11_41_13100	189.156693	62.11544	z6_GNW_2045	5.81	5.889999866485596	Stark11
Stark11_42_6706	189.079712	62.141884	z6_GNW_5756	5.97	5.909999847412109	Stark11
Jung18_z7_GND_10402	189.179276	62.275894	z7_GND_10402	6.697	7.0	Jung18
Hu10_z7_2	189.356888	62.295319	z7_GNW_24443	-99.0	6.659999847412109	Hu10
