ID z_fink z_bouw Hmag ra dec
z6_GNW_30051 5.58 5.62 25.83 189.455215 62.260632
z5_GNW_10084 5.55 5.69 26.19 189.057281 62.166943
z5_GNW_15423 5.55 5.56 25.49 188.979294 62.201313
z6_GND_16819 5.55 5.62 24.72 189.328232 62.256317
z5_GND_14430 5.51 5.56 25.34 189.342285 62.262852
z5_GND_30190 5.53 5.56 26.86 189.248978 62.218365
z5_GND_42418 5.53 5.69 25.81 189.166550 62.305592
z5_GND_15562 5.54 5.69 26.85 189.106384 62.259712
z5_GND_44499 5.58 5.56 26.20 189.105927 62.286846
z6_GNW_27915 5.56 5.62 26.29 189.474213 62.275700
z6_GNW_25538 5.57 5.56 25.93 189.481949 62.288136
z6_GNW_25971 6.10 6.03 26.54 189.334732 62.286125
z6_GNW_23437 5.99 6.17 25.89 189.388000 62.301167
z5_GNW_22336 5.55 5.56 26.74 189.341263 62.309196
z6_GNW_22717 5.86 5.76 25.75 189.416199 62.333141
z6_GNW_23350 5.62 6.17 26.76 189.414474 62.333523
z6_GNW_20152 5.84 5.89 26.62 189.307617 62.323444
z6_GNW_32543 5.86 5.96 26.16 189.318924 62.356548
z6_GNW_4311 5.94 5.89 25.02 189.178604 62.132816
z6_GNW_6440 6.18 6.03 26.06 189.162872 62.145832
z6_GNW_8472 5.66 5.69 25.95 189.172394 62.157078
z6_GNW_22555 6.19 6.10 25.24 189.301788 62.307808
z6_GNW_1169 5.61 5.62 26.86 189.135452 62.108707
z6_GNW_2045 5.89 5.96 26.26 189.156693 62.115440
z6_GNW_2993 6.02 6.03 26.42 189.127197 62.122612
z6_GNW_6554 6.20 5.82 26.77 189.137207 62.146313
z6_GNW_7317 6.50 6.46 26.66 189.069244 62.150181
z5_GNW_12024 5.62 5.62 25.52 189.142960 62.179790
z6_GNW_10421 5.66 5.69 26.90 189.089981 62.169113
z6_GNW_10970 5.59 5.69 24.26 189.075775 62.172729
z5_GNW_11324 5.52 5.82 25.19 189.068375 62.174931
z6_GNW_14511 5.74 5.69 26.12 189.100571 62.195335
z6_GNW_16141 5.79 5.82 25.78 189.019241 62.207722
z6_GNW_10822 5.55 5.62 26.20 188.995300 62.171459
z6_GNW_14478 6.02 5.96 26.53 189.001450 62.194984
z6_GNW_15180 5.73 5.69 25.98 188.962036 62.199577
z6_GNW_16618 5.66 5.76 25.06 188.995880 62.212585
z6_GNW_16070 5.88 5.82 25.68 188.954025 62.206898
z6_GNW_16088 5.63 5.62 26.23 188.953293 62.207077
z6_GND_2469 6.05 5.96 26.71 189.317230 62.169769
z7_GND_39528 6.53 6.17 26.83 189.306519 62.187450
z6_GND_35647 6.37 6.24 26.88 189.329865 62.200844
z6_GND_29564 5.93 5.89 25.99 189.379532 62.220028
z6_GND_28043 5.73 5.89 25.16 189.418427 62.224796
z6_GND_25736 6.43 5.56 26.95 189.335617 62.231339
z6_GND_25400 5.51 5.62 26.23 189.341888 62.232079
z6_GND_23382 5.92 6.03 25.36 189.386108 62.237839
z6_GND_20879 5.92 5.89 26.28 189.369308 62.244785
