ID ra dec photoz Jmag
98.0 189.08625793 62.10453415 0.8928 26.208331102252394
179.0 189.13746643 62.10703278 0.8517 26.394192610636065
224.0 189.17127991 62.10860825 0.8662 25.109951308708087
233.0 189.13430786 62.10866165 0.8283 24.970545423629734
239.0 189.11231995 62.10900116 0.9061 24.319583437148033
261.0 189.19247437 62.10924911 0.8598 24.60386759827793
288.0 189.13508606 62.11024475 0.9032 24.693313716984505
293.0 189.20309448 62.11016846 0.8936 24.678759503418235
299.0 189.10372925 62.11014557 0.884 25.951144977651946
304.0 189.20196533 62.11026764 0.8576 26.26638972816637
366.0 189.08961487 62.1115036 0.8231 25.660623607625134
367.0 189.07592773 62.11153412 0.9121 25.5102304717462
379.0 189.18460083 62.11182022 0.902 25.987896480970047
381.0 189.15254211 62.11186981 0.8184 25.29172671195488
396.0 189.21299744 62.11244583 0.8189 23.620033912510312
457.0 189.21046448 62.11320496 0.8445 24.728164728494086
463.0 189.16439819 62.11348343 0.8832 24.971919974201587
500.0 189.15988159 62.11403275 0.9046 26.034404052958823
503.0 189.16552734 62.11405945 0.8642 26.211673409915683
506.0 189.1749115 62.11445618 0.8792 25.033462495516087
523.0 189.17431641 62.1143837 0.8164 25.346447764929884
570.0 189.09831238 62.11517715 0.7937 25.138188930217005
577.0 189.161026 62.11537933 0.8804 25.0917939249395
608.0 189.11499023 62.11603165 0.8591 25.237319117414692
613.0 189.13731384 62.11619949 0.8277 25.047187061775812
636.0 189.1607666 62.11662292 0.8107 26.425215755590614
646.0 189.19473267 62.11705017 0.9026 23.858174191941757
655.0 189.19760132 62.11749649 0.8685 24.061801409158814
665.0 189.15135193 62.11739349 0.8169 24.68288639837704
680.0 189.15657043 62.11758423 0.8046 25.803590249537628
681.0 189.1197052 62.11759949 0.8662 25.90802827741406
703.0 189.07261658 62.11826324 0.8428 23.497540549690417
724.0 189.17259216 62.11957932 0.9249 23.506036245619487
741.0 189.16046143 62.11901855 0.8539 25.919287099923523
787.0 189.16339111 62.12022781 0.8525 24.597478906734995
824.0 189.14974976 62.12083817 0.8897 25.32758114649353
826.0 189.11604309 62.12083435 0.8582 25.379496406931302
828.0 189.16166687 62.12105179 0.9106 24.831299940171295
833.0 189.19412231 62.12099075 0.9149 24.79663173048967
834.0 189.19107056 62.12121964 0.916 24.542965121856586
839.0 189.19168091 62.1211586 0.7723 24.46163324284458
878.0 189.13491821 62.12187195 0.883 25.40977546987444
893.0 189.10099792 62.12202835 0.8364 25.746598206096436
896.0 189.13619995 62.12222672 0.8242 25.199574243199063
941.0 189.20059204 62.12324142 0.7939 24.646846023444773
952.0 189.15316772 62.12398148 0.8972 24.778154086815004
993.0 189.20823669 62.12413788 0.7939 24.010243151100358
1007.0 189.12150574 62.12452316 0.9003 24.287007192972577
1165.0 189.12136841 62.12783813 0.8565 24.52144233328048
1198.0 189.13052368 62.12797928 0.885 24.87260135057087
1260.0 189.13845825 62.12903595 0.8145 24.67480916870709
1293.0 189.09162903 62.12932587 0.7918 25.789817512575688
1299.0 189.13487244 62.12928391 0.8917 25.62991776467464
1343.0 189.05670166 62.12991333 0.8452 26.06373540755669
1344.0 189.1894989 62.13018417 0.8772 25.422566506693375
1349.0 189.17947388 62.13015747 0.818 25.62863844384189
1360.0 189.22370911 62.13041687 0.7796 24.826477323320518
1372.0 189.06903076 62.13035583 0.8996 25.090778291015702
1383.0 189.22052002 62.13103104 0.8671 24.39364642925404
1404.0 189.15312195 62.13081741 0.8394 25.970559007506722
1430.0 189.21725464 62.13116074 0.9074 26.37757754776408
1443.0 189.17980957 62.13139725 0.9076 25.126085897990336
1498.0 189.20510864 62.13243484 0.8546 25.24859063551269
1545.0 189.09693909 62.13293457 0.8982 25.137769755604552
1549.0 189.20018005 62.13318253 0.8092 24.14809677059332
