# Passive galaxies from Sirio
id ra dec priority lmass photoz
1301 189.208342 62.130576 1 10.1 1.171
9056 189.056217 62.188475 1 11.15 1.083
11004 189.359313 62.196221 1 10.12 1.096
12173 189.022674 62.201896 1 10.02 1.417
13718 189.229293 62.209512 1 10.12 1.249
24238 189.526264 62.260638 1 10.34 1.286
28451 189.247715 62.282931 1 10.47 1.149
32507 189.418069 62.305949 1 10.15 1.348
34419 189.311828 62.320264 1 10.43 1.209
36530 189.27562 62.340723 1 10.79 1.365
38102 189.339219 62.375874 1 10.33 1.217
542 189.099532 62.115753 2 10.59 1.215
1184 189.206958 62.1297 2 10.98 1.209
2265 189.064897 62.142943 2 11.01 1.101
2313 189.035856 62.142347 2 10.3 1.136
2484 189.086981 62.144791 2 10.41 1.051
2639 189.273663 62.145753 2 10.33 1.424
2684 189.091908 62.147403 2 10.67 1.005
2913 189.05517 62.147938 2 10.1 1.108
3133 189.086191 62.151829 2 11.16 1.048
3538 189.023467 62.152145 2 10.31 1.081
3735 189.076623 62.153706 2 10.06 1.231
3843 189.080112 62.156364 2 10.71 1.058
4108 189.127835 62.158033 2 10.7 1.023
4748 189.063398 62.162352 2 10.91 1.11
4907 188.98422 62.164231 2 10.75 1.016
6732 189.148788 62.175733 2 10.59 1.238
8339 189.316283 62.183289 2 10.38 1.192
8560 189.388808 62.184306 2 10.77 1.115
8912 189.065631 62.186165 2 10.41 1.172
9533 189.027871 62.189327 2 10.67 1.215
9861 189.317228 62.191831 2 10.78 1.031
10145 189.352801 62.192151 2 10.35 1.128
10256 189.182918 62.192832 2 10.15 1.019
11397 189.188911 62.198482 2 10.59 1.024
12115 189.297027 62.201657 2 10.27 1.241
12406 189.314398 62.203299 2 10.58 1.031
12641 189.172879 62.204168 2 10.5 1.065
12739 189.254053 62.204662 2 10.19 1.116
13041 188.934519 62.206753 2 10.99 1.269
13191 189.217041 62.207326 2 10.56 1.249
13220 189.064923 62.206913 2 10.43 1.032
14079 188.971217 62.211205 2 10.21 1.077
14346 189.30622 62.212673 2 10.5 1.217
14945 189.359384 62.215357 2 10.15 1.245
15038 189.235729 62.215953 2 10.02 1.298
15439 189.357565 62.217933 2 10.67 1.415
15529 189.408089 62.219165 2 10.9 1.233
15616 189.238403 62.218809 2 10.25 1.249
15786 189.409806 62.219767 2 10.65 1.183
16002 189.407737 62.220342 2 10.44 1.208
16559 189.38286 62.223361 2 10.76 1.171
17070 189.268086 62.226445 2 10.92 1.222
17746 189.049436 62.228979 2 10.9 1.152
17969 188.991473 62.230509 2 10.09 1.149
18000 189.024326 62.230651 2 10.66 1.235
18603 189.240868 62.233496 2 10.3 1.238
18838 188.986425 62.235108 2 10.68 1.028
19263 188.969179 62.236086 2 10.7 1.059
20432 189.362767 62.242309 2 10.83 1.093
21156 189.239409 62.247548 2 11.16 1.195
21724 189.063257 62.248675 2 10.77 1.093
21810 189.500546 62.248718 2 10.84 1.055
22027 189.06579 62.249816 2 10.58 1.087
23435 189.338306 62.256571 2 10.27 1.091
23498 189.417612 62.257164 2 10.38 1.174
23624 189.008627 62.257392 2 10.79 1.144
24345 189.244758 62.261225 2 10.42 1.367
26002 189.097421 62.269586 2 10.45 1.123
26350 189.53637 62.27167 2 10.74 1.155
26422 189.55161 62.271284 2 10.48 1.1
26470 189.495303 62.271754 2 10.74 1.182
27185 189.242059 62.27751 2 10.91 1.003
27600 189.077863 62.278531 2 10.71 1.253
29756 189.202488 62.290021 2 10.77 1.19
30676 189.116123 62.295613 2 10.87 1.298
30957 189.22434 62.296309 2 10.43 1.228
31022 189.440758 62.296856 2 10.7 1.137
31729 189.465705 62.300783 2 10.3 1.247
32000 189.098841 62.302608 2 10.17 1.369
32566 189.16128 62.307577 2 10.61 1.179
32691 189.347593 62.307165 2 10.46 1.427
33019 189.468112 62.309915 2 10.66 1.265
33464 189.40472 62.312932 2 10.52 1.423
34580 189.41977 62.322214 2 10.76 1.165
34630 189.444194 62.321885 2 10.61 1.073
34694 189.14784 62.323647 2 10.94 1.087
35099 189.388554 62.326692 2 10.65 1.019
35299 189.360002 62.3291 2 11.11 1.052
35835 189.212077 62.332126 2 10.06 1.129
36408 189.361325 62.338384 2 10.35 1.006
36751 189.36608 62.342985 2 10.92 1.139
37210 189.252761 62.350806 2 10.87 1.023
37325 189.251371 62.351582 2 10.21 1.144
37375 189.314561 62.352151 2 10.18 1.139
37686 189.274474 62.36082 2 10.89 1.273
