# wave_nm transmission
6.760000000000000000e+02 9.999999000000000526e-01
6.760620110109546204e+02 9.999999000000000526e-01
6.761240220219092407e+02 9.999999000000000526e-01
6.761860330328637474e+02 9.999999000000000526e-01
6.762480440438183678e+02 9.999999000000000526e-01
6.763100550547729881e+02 9.999999000000000526e-01
6.763720660657276085e+02 9.999999000000000526e-01
6.764340770766822288e+02 9.999999000000000526e-01
6.764960880876367355e+02 9.999999000000000526e-01
6.765580990985913559e+02 9.999999000000000526e-01
6.766201101095459762e+02 9.999999000000000526e-01
6.766821211205005966e+02 9.999999000000000526e-01
6.767441321314552169e+02 9.999999000000000526e-01
6.768061431424097236e+02 9.999999000000000526e-01
6.768681541533643440e+02 9.999999000000000526e-01
6.769301651643189643e+02 9.999999000000000526e-01
6.769921761752735847e+02 9.999999000000000526e-01
6.770541871862282051e+02 9.999999000000000526e-01
6.771161981971827117e+02 9.999999000000000526e-01
6.771782092081373321e+02 9.999999000000000526e-01
6.772402202190919525e+02 9.999999000000000526e-01
6.773022312300465728e+02 9.999999000000000526e-01
6.773642422410011932e+02 9.999999000000000526e-01
6.774262532519556999e+02 9.999999000000000526e-01
6.774882642629103202e+02 9.999999000000000526e-01
6.775502752738649406e+02 9.999999000000000526e-01
6.776122862848195609e+02 9.999999000000000526e-01
6.776742972957741813e+02 9.999998500000000234e-01
6.777363083067286880e+02 9.999998500000000234e-01
6.777983193176833083e+02 9.999998000000001053e-01
6.778603303286379287e+02 9.999998000000001053e-01
6.779223413395925490e+02 9.999998000000001053e-01
6.779843523505471694e+02 9.999997000000000469e-01
6.780463633615016761e+02 9.999987500000000473e-01
6.781083743724562964e+02 9.999964500000000367e-01
6.781703853834109168e+02 9.999944499999999792e-01
6.782323963943655372e+02 9.999948499999999907e-01
6.782944074053201575e+02 9.999963499999999783e-01
6.783564184162746642e+02 9.999978499999999659e-01
6.784184294272292846e+02 9.999988499999999947e-01
6.784804404381839049e+02 9.999989499999999421e-01
6.785424514491385253e+02 9.999980499999999717e-01
6.786044624600930320e+02 9.999973500000000071e-01
6.786664734710476523e+02 9.999979500000000243e-01
6.787284844820022727e+02 9.999982499999999774e-01
6.787904954929568930e+02 9.999970499999999429e-01
6.788525065039115134e+02 9.999959999999999960e-01
6.789145175148660201e+02 9.999971000000000831e-01
6.789765285258206404e+02 9.999987999999999655e-01
6.790385395367752608e+02 9.999995999999999885e-01
6.791005505477298811e+02 9.999997000000000469e-01
6.791625615586845015e+02 9.999995500000000703e-01
6.792245725696390082e+02 9.999985499999999305e-01
6.792865835805936285e+02 9.999957999999999902e-01
6.793485945915482489e+02 9.999928000000000150e-01
6.794106056025028693e+02 9.999929999999999097e-01
6.794726166134574896e+02 9.999951999999999730e-01
6.795346276244119963e+02 9.999913000000000274e-01
6.795966386353666167e+02 9.999744500000000702e-01
6.796586496463212370e+02 9.999550999999999856e-01
6.797206606572758574e+02 9.999557000000000029e-01
6.797826716682304777e+02 9.999737499999999946e-01
6.798446826791849844e+02 9.999863500000000238e-01
6.799066936901396048e+02 9.999786499999999689e-01
6.799687047010942251e+02 9.999585500000000016e-01
6.800307157120488455e+02 9.999521499999999286e-01
6.800927267230034658e+02 9.999709500000000251e-01
6.801547377339579725e+02 9.999905000000000044e-01
6.802167487449125929e+02 9.999955000000000371e-01
6.802787597558672132e+02 9.999818999999999791e-01
6.803407707668218336e+02 9.999514999999999931e-01
6.804027817777764540e+02 9.999308000000000085e-01
6.804647927887309606e+02 9.999474999999999891e-01
6.805268037996855810e+02 9.999713999999999547e-01
6.805888148106402014e+02 9.999658999999999631e-01
6.806508258215948217e+02 9.999403000000000041e-01
6.807128368325494421e+02 9.999344000000000010e-01
6.807748478435039488e+02 9.999609000000000414e-01
6.808368588544585691e+02 9.999875499999999473e-01
6.808988698654131895e+02 9.999975500000000128e-01
6.809608808763678098e+02 9.999969500000001066e-01
6.810228918873224302e+02 9.999929999999999097e-01
6.810849028982769369e+02 9.999903500000000278e-01
6.811469139092315572e+02 9.999921999999999978e-01
6.812089249201861776e+02 9.999888500000000402e-01
6.812709359311407979e+02 9.999563999999999675e-01
6.813329469420954183e+02 9.998916500000000207e-01
6.813949579530499250e+02 9.998563499999999493e-01
6.814569689640045453e+02 9.999034499999999159e-01
6.815189799749591657e+02 9.999603500000000533e-01
6.815809909859137861e+02 9.999531999999999865e-01
6.816430019968684064e+02 9.998879499999999698e-01
6.817050130078229131e+02 9.998465000000000824e-01
6.817670240187775335e+02 9.998927499999999968e-01
6.818290350297321538e+02 9.999567000000000316e-01
6.818910460406867742e+02 9.999778500000000570e-01
6.819530570516413945e+02 9.999662499999999454e-01
6.820150680625959012e+02 9.999441000000000024e-01
6.820770790735505216e+02 9.999291999999999625e-01
6.821390900845051419e+02 9.999417000000000444e-01
6.822011010954597623e+02 9.999546999999999741e-01
6.822631121064143827e+02 9.999263999999999930e-01
6.823251231173688893e+02 9.998468499999999537e-01
6.823871341283235097e+02 9.997587999999999475e-01
6.824491451392781300e+02 9.997235500000000163e-01
6.825111561502327504e+02 9.997611499999999873e-01
6.825731671611873708e+02 9.998236499999999527e-01
6.826351781721418774e+02 9.998818499999999609e-01
6.826971891830964978e+02 9.999134499999999814e-01
6.827592001940511182e+02 9.999294000000000793e-01
6.828212112050057385e+02 9.999206499999999664e-01
6.828832222159603589e+02 9.998709000000000069e-01
6.829452332269148656e+02 9.998396499999999687e-01
6.830072442378694859e+02 9.998890499999999459e-01
6.830692552488241063e+02 9.999573999999999963e-01
6.831312662597787266e+02 9.999854500000000534e-01
6.831932772707333470e+02 9.999643999999999755e-01
6.832552882816878537e+02 9.999004499999999407e-01
6.833172992926424740e+02 9.998399500000000328e-01
6.833793103035970944e+02 9.998459499999999833e-01
6.834413213145517147e+02 9.998930999999999791e-01
6.835033323255062214e+02 9.999437500000000201e-01
6.835653433364608418e+02 9.999774500000000454e-01
6.836273543474154621e+02 9.999846000000000013e-01
6.836893653583700825e+02 9.999645500000000631e-01
6.837513763693247029e+02 9.999260500000000107e-01
6.838133873802792095e+02 9.998659000000000852e-01
6.838753983912338299e+02 9.997808999999999724e-01
6.839374094021884503e+02 9.997382000000000213e-01
6.839994204131430706e+02 9.997921499999999906e-01
6.840614314240976910e+02 9.998317500000000191e-01
6.841234424350521977e+02 9.997530500000000320e-01
6.841854534460068180e+02 9.996366500000000155e-01
6.842474644569614384e+02 9.996369499999999686e-01
6.843094754679160587e+02 9.997479499999999408e-01
6.843714864788706791e+02 9.998422000000000143e-01
6.844334974898251858e+02 9.998620499999999467e-01
6.844955085007798061e+02 9.998377999999999988e-01
6.845575195117344265e+02 9.998187499999999783e-01
6.846195305226890468e+02 9.998409999999999798e-01
6.846815415336436672e+02 9.998842500000000300e-01
6.847435525445981739e+02 9.998815000000000897e-01
6.848055635555527942e+02 9.998643499999999573e-01
6.848675745665074146e+02 9.999065000000000314e-01
6.849295855774620350e+02 9.999644500000000047e-01
6.849915965884166553e+02 9.999899500000000163e-01
6.850536075993711620e+02 9.999926999999999566e-01
6.851156186103257824e+02 9.999879999999999880e-01
6.851776296212804027e+02 9.999624499999999472e-01
6.852396406322350231e+02 9.998704499999999662e-01
6.853016516431896434e+02 9.996890499999999680e-01
6.853636626541441501e+02 9.995380000000000376e-01
6.854256736650987705e+02 9.995931999999999595e-01
6.854876846760533908e+02 9.997875999999999985e-01
6.855496956870080112e+02 9.999158999999999686e-01
6.856117066979626316e+02 9.999434000000000378e-01
6.856737177089171382e+02 9.999459500000000833e-01
6.857357287198717586e+02 9.999430499999999444e-01
6.857977397308263789e+02 9.999162500000000620e-01
6.858597507417809993e+02 9.998792000000000790e-01
6.859217617527356197e+02 9.998531999999999975e-01
6.859837727636901263e+02 9.998300499999999147e-01
6.860457837746447467e+02 9.998034000000000088e-01
6.861077947855993671e+02 9.998072000000000070e-01
6.861698057965539874e+02 9.998109500000000871e-01
6.862318168075086078e+02 9.997630499999999865e-01
6.862938278184631145e+02 9.996758999999999507e-01
6.863558388294177348e+02 9.996001500000000206e-01
6.864178498403723552e+02 9.995224499999999512e-01
6.864798608513269755e+02 9.993818500000000160e-01
6.865418718622815959e+02 9.974115500000000356e-01
6.866038828732361026e+02 9.815929999999999378e-01
6.866658938841907229e+02 9.310410499999999256e-01
6.867279048951453433e+02 8.402674500000000268e-01
6.867899159060999636e+02 7.385130500000000042e-01
6.868519269170545840e+02 6.729610999999999787e-01
6.869139379280090907e+02 6.840113999999999361e-01
6.869759489389637110e+02 7.354151500000000174e-01
6.870379599499183314e+02 7.578617500000000007e-01
6.870999709608729518e+02 7.519422499999999232e-01
6.871619819718275721e+02 7.449046500000000570e-01
6.872239929827820788e+02 7.540024499999999907e-01
6.872860039937366992e+02 7.823742000000000196e-01
6.873480150046913195e+02 8.078919500000000253e-01
6.874100260156459399e+02 8.019110499999999586e-01
6.874720370266005602e+02 8.040775500000000298e-01
6.875340480375550669e+02 8.273107499999999837e-01
6.875960590485096873e+02 8.366279000000000909e-01
6.876580700594643076e+02 8.409134000000000331e-01
6.877200810704189280e+02 8.502643999999999203e-01
6.877820920813735484e+02 8.667120500000000671e-01
6.878441030923280550e+02 8.872959000000000263e-01
6.879061141032826754e+02 8.987875000000000725e-01
6.879681251142372957e+02 9.145145500000000371e-01
6.880301361251919161e+02 9.371190000000000353e-01
6.880921471361465365e+02 9.671016999999999531e-01
6.881541581471010431e+02 9.891417500000000418e-01
6.882161691580556635e+02 9.958906999999999066e-01
6.882781801690102839e+02 9.833004499999999926e-01
6.883401911799649042e+02 9.531273500000000398e-01
6.884022021909195246e+02 9.311536000000000257e-01
6.884642132018740313e+02 9.357142000000000515e-01
6.885262242128286516e+02 9.269608000000000292e-01
6.885882352237832720e+02 8.951141000000000236e-01
6.886502462347378923e+02 8.787765499999999896e-01
6.887122572456923990e+02 8.895826000000000011e-01
6.887742682566470194e+02 9.160462999999999800e-01
6.888362792676016397e+02 9.118616999999999972e-01
6.888982902785562601e+02 8.776873000000000591e-01
6.889603012895108805e+02 8.597889999999999144e-01
6.890223123004653871e+02 8.736334500000000336e-01
6.890843233114200075e+02 9.206282500000000368e-01
6.891463343223746278e+02 9.439538000000000650e-01
6.892083453333292482e+02 9.024166000000000132e-01
6.892703563442838686e+02 8.366553999999999380e-01
6.893323673552383752e+02 8.351496000000000475e-01
6.893943783661929956e+02 9.020280999999999993e-01
6.894563893771476160e+02 9.593119500000000244e-01
6.895184003881022363e+02 9.588250999999999857e-01
6.895804113990568567e+02 9.053454999999999142e-01
6.896424224100113634e+02 8.452455999999999303e-01
6.897044334209659837e+02 8.465348500000000609e-01
6.897664444319206041e+02 9.112837999999999772e-01
6.898284554428752244e+02 9.680045999999999928e-01
