root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,273,189.2155379,62.3258976,27.31,4.555,0,415.4,4.9e-18,2.5e-19,19.8,1,-1,3,3,1.5,-
congress-n-v1,352,189.2176577,62.3237658,27.41,3.989,0.04,73.2,2.1e-18,3.1e-19,6.8,2,3,3,2,2.5,-
congress-n-v1,559,189.2153636,62.31979473,27.3,3.882,0,96.3,2.8e-18,3.4e-19,8.3,2,2,3,3,2.5,-
congress-n-v1,566,189.2158381,62.31957531,25.57,3.857,0,160.2,6.3e-18,5.4e-19,11.7,3,2,3,3,2.75,-
congress-n-v1,649,189.2020793,62.31824559,25.15,4.068,0.04,110,4.2e-18,4.6e-19,9.2,3,2,3,3,2.75,-
congress-n-v1,679,189.2142391,62.31798453,25.54,3.992,0.001,55.7,2.7e-18,5.2e-19,5.3,1,0,0,2,0.75,-
congress-n-v1,696,189.2008649,62.3177984,26.95,4.539,0,162.8,3.4e-18,2.9e-19,11.8,1,1,2,3,1.75,-
congress-n-v1,800,189.2238197,62.31631504,27.03,4.607,0,69.9,1.5e-18,2.5e-19,6.2,1,1,0,2,1,-
congress-n-v1,819,189.2101377,62.31609454,27.03,4.066,0,248.7,5.1e-18,3.5e-19,14.8,3,3,3,3,3,-
congress-n-v1,880,189.1875154,62.31547036,26.81,4.584,0.063,52.7,1.2e-18,2.2e-19,5.4,0,1,0,1,0.5,-
congress-n-v1,889,189.2076961,62.31534619,26.38,3.807,0,77.9,4.0e-18,5.6e-19,7.1,2,2,1,2,1.75,-
congress-n-v1,911,189.2490869,62.31510398,24.06,3.856,0,282.7,1.0e-17,6.4e-19,16,3,3,3,3,3,-
congress-n-v1,934,189.2039095,62.31495753,27.88,4.857,0,148.1,2.5e-18,2.3e-19,10.8,3,3,3,3,3,-
congress-n-v1,936,189.2047063,62.31489677,26.11,3.808,0,211.8,8.5e-18,6.3e-19,13.6,3,3,3,3,3,-
congress-n-v1,990,189.2309963,62.31426122,27.84,4.078,0.135,53.2,1.5e-18,3.0e-19,5.1,1,1,0,0,0.5,-
congress-n-v1,998,189.2252328,62.31411144,26.12,4.608,0,116,2.8e-18,3.0e-19,9.4,3,3,3,3,3,-
congress-n-v1,1029,189.1750847,62.31323781,26.23,4.291,0.04,69.5,3.1e-18,4.7e-19,6.7,-1,0,0,0,-0.25,-
congress-n-v1,1273,189.2362486,62.31115502,26.14,4.327,0,108.9,2.5e-18,2.9e-19,8.8,2,2,3,3,2.5,-
congress-n-v1,1279,189.261445,62.31110749,26.65,4.059,0,289.9,4.1e-18,2.5e-19,16,3,3,3,3,3,-
congress-n-v1,1343,189.1914575,62.31050179,26.93,4.796,0,525.8,6.3e-18,2.8e-19,22.6,3,3,3,3,3,-
congress-n-v1,1354,189.2588048,62.31040959,26.44,4.056,0,73.2,2.8e-18,3.9e-19,7,1,1,0,2,1,-
congress-n-v1,1428,189.2217244,62.30974691,27.85,3.927,0.04,73.6,1.8e-18,2.8e-19,6.5,2,2,3,2,2.25,-
congress-n-v1,1456,189.1825149,62.30944676,26.3,3.852,0.04,69.4,4.6e-18,7.4e-19,6.3,-1,0,0,0,-0.25,-
congress-n-v1,1469,189.2040421,62.30940568,26.59,3.94,0,142.6,4.9e-18,4.6e-19,10.8,-1,-1,3,3,1,-
congress-n-v1,1470,189.2040533,62.30932193,27.68,3.934,0,243.8,4.7e-18,2.9e-19,15.9,-1,-1,2,3,0.75,-
congress-n-v1,1477,189.2221098,62.30929963,24.34,3.935,0,367.5,1.1e-17,6.3e-19,18,3,2,3,3,2.75,-
congress-n-v1,1524,189.2182489,62.30903645,27.76,4.653,0.059,55.5,1.3e-18,2.4e-19,5.3,1,1,1,1,1,-
congress-n-v1,1546,189.2228251,62.30884756,27.42,3.887,0,75.1,2.2e-18,3.2e-19,6.7,1,-1,2,2,1,-
congress-n-v1,1547,189.1830533,62.30880849,26.7,4.62,0,107.8,2.7e-18,2.9e-19,9.2,3,2,3,3,2.75,-
congress-n-v1,1601,189.1992755,62.30795988,25.41,4.188,0,106.7,3.7e-18,4.3e-19,8.6,3,2,3,3,2.75,-
congress-n-v1,1623,189.1743641,62.30797542,27.22,4.32,0,358.5,4.8e-18,2.6e-19,18.3,-1,-1,-1,-1,-1,-
congress-n-v1,1662,189.2026154,62.30748956,27.5,4.533,0,89.2,2.1e-18,2.7e-19,7.7,2,2,1,2,1.75,-
congress-n-v1,1665,189.2138373,62.30742712,26.8,4.22,0,60.3,1.6e-18,2.7e-19,5.7,1,1,1,2,1.25,-
congress-n-v1,1699,189.2204804,62.30711644,26.53,4.372,0,90.1,2.1e-18,2.7e-19,7.8,2,-1,2,2,1.25,-
congress-n-v1,1701,189.2575765,62.30700933,24.63,4.09,0,112.6,4.0e-18,4.3e-19,9.3,2,1,3,1,1.75,-
congress-n-v1,1770,189.1699747,62.3063315,27.62,3.798,0.041,53.7,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,1902,189.2468156,62.30517102,25.42,3.886,0.016,76,2.4e-18,3.8e-19,6.4,1,1,3,2,1.75,-
congress-n-v1,1937,189.202628,62.30480396,25.71,3.725,0,139.5,0.0e+00,0.0e+00,-99,0,0,0,0,0,-
congress-n-v1,1948,189.25773,62.3047121,25.4,4.362,0,297.2,4.8e-18,2.9e-19,16.4,3,2,3,3,2.75,-
