ID Ra DEC MUV dMUV z EWLya dEWLya DV dDV fesc dfesc fescA dfescA
MUSE-102049176    53.074469  -27.820237  -18.05   0.10  5.1024  395   60  179   110 0.760   0.393  0.580   0.300
MUSE-107041159    53.087996  -27.813147  -19.25   0.04  5.3161  333   22  73   19   0.847   0.172  0.647   0.131
MUSE-116039142    53.131702  -27.847032  -19.52   0.06  5.3253  151   13  85   30   0.829   0.211  0.633   0.161
MUSE-117039091    53.156207  -27.836079  -18.68   0.09  5.7675  248   32  115   35  0.678   0.168  0.518   0.128
MUSE-118034094    53.175266  -27.841127  -19.63   0.08  5.2964  199   20  86   17   0.783   0.172  0.598   0.131
MUSE-119036075    53.188854  -27.833476  -18.39   0.27  5.3345  154   43  251   17  0.413   0.120  0.315   0.092
MUSE-119039078    53.177428  -27.830966  -18.21   0.07  5.6132  237   29  77   58   0.494   0.185  0.377   0.141
MUSE-119040079    53.191824  -27.824896  -19.88   0.04  5.7880  100   11  261   31  0.383   0.082  0.292   0.063
MUSE-122002035    53.119796  -27.831269  -17.96   0.32  5.3180  302   94  163   53  1.470   0.997  1.122   0.761
MUSE-123027133    53.144620  -27.831002  -18.34   0.08  5.8024  298   35  79   37   0.766   0.345  0.584   0.263
MUSE-124033068    53.165978  -27.823859  -18.73   0.06  5.0475  240   25  119   28  0.778   0.234  0.594   0.178
MUSE-125051124    53.188380  -27.819461  -20.11   0.02  5.5815  93   21   310   52  0.309   0.092  0.236   0.070
MUSE-125052125    53.173472  -27.825016  -17.94   0.06  5.6134  232   63  140   49  0.598   0.353  0.457   0.270
MUSE-128044246    53.121016  -27.815916  -18.33   0.09  4.9347  326   63  60   70   1.086   0.664  0.828   0.507
MUSE-128045247    53.119796  -27.821988  -19.32   0.06  4.9666  166   28  193   51  1.387   0.448  1.059   0.342
MUSE-130033059    53.102725  -27.792042  -19.02   0.15  5.1138  113   30  326   17  0.253   0.072  0.193   0.055
MUSE-131016106    53.104145  -27.783718  -19.28   0.09  6.0641  197   41  273   41  0.998   0.489  0.762   0.373
MUSE-134036056    53.131273  -27.806806  -19.72   0.03  5.1251  162   20  113   26  0.935   0.219  0.713   0.167
MUSE-134037057    53.132663  -27.798961  -18.40   0.11  5.1302  533   77  201   26  0.599   0.123  0.457   0.094
MUSE-135049239    53.124788  -27.784118  -19.05   0.08  5.7854  223   30  147   25  0.511   0.149  0.390   0.114
MUSE-136041192    53.115275  -27.772786  -18.49   0.16  5.0806  246   50  234   24  0.293   0.073  0.224   0.056
MUSE-136044198    53.123258  -27.771197  -19.17   0.11  5.2338  270   40  111   30  0.518   0.093  0.395   0.071
MUSE-139047301    53.142900  -27.758885  -18.14   0.06  4.9374  153   32  177   46  0.486   0.298  0.371   0.227
MUSE-140047114    53.134580  -27.756489  -20.16   0.06  5.4481  108   15  135   16  0.539   0.099  0.411   0.076
MUSE-68           53.171196  -27.778448  -19.86   0.04  4.9397  158   5   258   96  0.692   0.332  0.528   0.254
MUSE-313          53.170944  -27.782429  -17.68   0.17  5.1382  140   22  186   34  0.323   0.199  0.247   0.152
MUSE-417          53.157867  -27.779982  -18.01   0.07  5.1321  43   3    156   63  0.118   0.056  0.090   0.042
MUSE-547          53.160609  -27.771537  -18.42   0.09  5.9775  111   10  236   77  0.289   0.085  0.221   0.065
MUSE-1478         53.153168  -27.766165  -20.14   0.04  4.9304  23   1    263   66  0.096   0.035  0.073   0.027
MUSE-1670 53.166702 −27.804155 −21.30   0.01 5.8325 29   1 470   15 0.079   0.007 0.061   0.005
MUSE-2069 53.151096 −27.782923 −19.39   0.03 5.2678 31   3 249   21 0.165   0.047 0.126   0.036
MUSE-2071 53.146133 −27.777782 −18.84   0.05 4.9304 30   3 263   203 0.102   0.209 0.078   0.159
MUSE-2168 53.135960 −27.798378 −18.95   0.04 5.7811 159   7 186   26 0.263   0.066 0.201   0.050
MUSE-2296 53.168419 −27.804079 −18.64   0.08 4.9500 49   6 227   27 0.233   0.095 0.178   0.072
MUSE-2302 53.180447 −27.770603 −17.73   0.08 5.0333 89   11 318   90 0.152   0.082 0.116   0.063
MUSE-2307 53.183330 −27.795965 −17.86   0.06 4.9489 263   17 161   30 0.373   0.136 0.285   0.104
MUSE-2350 53.156380 −27.809574 −18.16   0.05 5.0488 227   13 119   20 0.595   0.169 0.454   0.129
MUSE-2449 53.164741 −27.769613 −18.71   0.13 5.2709 39   8 62   39 0.231   0.117 0.176   0.089
MUSE-2481 53.149803 −27.810652 −18.76   0.05 5.0323 23   4 219   108 0.111   0.067 0.085   0.051
